ScientificName,SpecCode,CommonName,Environments,Subspecies
Alabes bathys,64541,,['salt'],[]
Alabes brevis,55697,Short shore eel,['salt'],[]
Alabes dorsalis,51362,Ålelignende dobbeltsuger,['salt'],[]
Alabes elongata,62615,Elongate shore eel,['salt'],[]
Alabes gibbosa,62616,Hunchback shore eel,['salt'],[]
Alabes hoesei,51367,Dwarf shore eel,['salt'],[]
Alabes obtusirostris,62634,Pugnose shore eel,['salt'],[]
Alabes occidentalis,62635,Western shore eel,['salt'],[]
Alabes parvula,27497,Eel clingfish,['salt'],[]
Alabes scotti,62638,Scott's shore eel,['salt'],[]
Alabes springeri,64542,,['salt'],[]
