ScientificName,SpecCode,CommonName,Environments,Subspecies
Amblygobius albimaculatus,6675,Bia,"['brackish', 'salt']",[]
Amblygobius buanensis,56800,Buan goby,['salt'],[]
Amblygobius bynoensis,55505,Byno goby,"['brackish', 'salt']",[]
Amblygobius calvatus,68848,Baldhead siltgoby,['salt'],[]
Amblygobius cheraphilus,68849,East Indies siltgoby,['salt'],[]
Amblygobius decussatus,7197,Bia,"['brackish', 'salt']",[]
Amblygobius esakiae,27553,Snoutspot goby,['salt'],[]
Amblygobius linki,6521,Bia,['salt'],[]
Amblygobius magnusi,56463,馬格納氏鈍絲鰕虎魚,['salt'],[]
Amblygobius nocturnus,7243,Bia,['salt'],[]
Amblygobius phalaena,7198,Bagtis,['salt'],[]
Amblygobius semicinctus,25417,Binden-Grundel,"['brackish', 'salt']",[]
Amblygobius sewardii,66825,,['salt'],[]
Amblygobius sphynx,7199,Bagtis,"['brackish', 'salt']",[]
Amblygobius stethophthalmus,62722,Freckled goby,['salt'],[]
Amblygobius tekomaji,52957,泰氏鈍鰕虎魚,['salt'],[]
