ScientificName,SpecCode,CommonName,Environments,Subspecies
Bathygobius aeolosoma,61320,,['salt'],[]
Bathygobius andrei,8258,Chalaco,"['brackish', 'salt']",[]
Bathygobius antilliensis,65821,Antilles frillfin,['salt'],[]
Bathygobius brasiliensis,70000,Bimba de nego,['salt'],[]
Bathygobius burtoni,22729,,['salt'],[]
Bathygobius casamancus,9923,,"['brackish', 'salt']",[]
Bathygobius coalitus,25423,Kuro-yahazuhaze,['salt'],[]
Bathygobius cocosensis,7202,Bia,"['brackish', 'salt']",[]
Bathygobius cotticeps,7249,Bia,"['brackish', 'salt']",[]
Bathygobius curacao,3835,Gobio jaspeado,['salt'],[]
Bathygobius cyclopterus,11801,Bia,"['brackish', 'salt']",[]
Bathygobius fishelsoni,55528,菲氏深鰕虎魚,['salt'],[]
Bathygobius fuscus,7201,Belodok rabuk,"['fresh', 'brackish', 'salt']",[]
Bathygobius geminatus,65822,Twin-spotted frillfin,['salt'],[]
Bathygobius hongkongensis,61032,Kurohoshi-yahazuhaze,['salt'],[]
Bathygobius karachiensis,59389,卡拉其深鰕虎魚,['salt'],[]
Bathygobius krefftii,55527,Frayedfin goby,"['brackish', 'salt']",[]
Bathygobius lacertus,67263,,['salt'],[]
Bathygobius laddi,17045,Brownboy goby,['salt'],[]
Bathygobius lineatus,12915,Mapo del sur,['salt'],[]
Bathygobius meggitti,46431,Gobie de Meggitt,"['brackish', 'salt']",[]
Bathygobius mystacium,3836,Gobio Bandeado,['salt'],[]
Bathygobius niger,15777,Black minigoby,['salt'],[]
Bathygobius ostreicola,25234,蛎居深鰕虎鱼,"['fresh', 'brackish', 'salt']",[]
Bathygobius panayensis,59236,,['salt'],[]
Bathygobius petrophilus,23690,Bia,"['brackish', 'salt']",[]
Bathygobius ramosus,8259,Gobio,['salt'],[]
Bathygobius smithi,62158,,['salt'],[]
Bathygobius soporator,3837,Aimoré,"['fresh', 'brackish', 'salt']",[]
