ScientificName,SpecCode,CommonName,Environments,Subspecies
Benthophilus baeri,47930,Baer pugolovka,['fresh'],[]
Benthophilus casachicus,61546,,"['fresh', 'brackish']",[]
Benthophilus ctenolepidus,48341,Gav Mahi Shfaf,['fresh'],[]
Benthophilus durrelli,64114,Don tadpole-goby,"['fresh', 'brackish']",[]
Benthophilus granulosus,47935,Granular pugolovka,"['fresh', 'brackish']",[]
Benthophilus grimmi,47936,格氏瘤鰕虎魚,['brackish'],[]
Benthophilus kessleri,48277,,['fresh'],[]
Benthophilus leobergius,63397,Caspian stellate tadpole-goby,"['fresh', 'brackish']",[]
Benthophilus leptocephalus,47937,小头瘤鰕虎鱼,['fresh'],[]
Benthophilus leptorhynchus,47938,Short-snout pugolovka,['fresh'],[]
Benthophilus macrocephalus,47931,Caspian goby,['fresh'],[]
Benthophilus magistri,25973,Azov tadpole goby,"['fresh', 'brackish']",[]
Benthophilus mahmudbejovi,55531,Small-spine tadpole-goby,"['fresh', 'brackish']",[]
Benthophilus nudus,63477,Black Sea tadpole-goby,"['fresh', 'brackish']",[]
Benthophilus persicus,69772,,['brackish'],[]
Benthophilus ragimovi,62057,,['fresh'],[]
Benthophilus spinosus,47933,Spiny pugolovka,['brackish'],[]
Benthophilus stellatus,16265,Gav Mahi Khtri,"['fresh', 'brackish']",[]
Benthophilus svetovidovi,55532,,['brackish'],[]
