ScientificName,SpecCode,CommonName,Environments,Subspecies
Coryogalops adamsoni,46392,Adamson's goby,['salt'],[]
Coryogalops anomolus,46394,Anomolous goby,['salt'],[]
Coryogalops bretti,59337,布氏真盔鰕虎魚,['brackish'],[]
Coryogalops bulejiensis,46395,Thinbarred goby,['salt'],[]
Coryogalops guttatus,68614,,['salt'],[]
Coryogalops monospilus,46396,Onespot goby,['salt'],[]
Coryogalops nanus,68445,,['salt'],[]
Coryogalops ocheticus,46338,Gobie de Port-Saïd,['salt'],[]
Coryogalops pseudomonospilus,68613,,['salt'],[]
Coryogalops sordidus,22953,Epaulet-dikkop,['salt'],[]
Coryogalops tessellatus,26677,方斑真盔鰕虎魚,['salt'],[]
Coryogalops william,9972,Kaalpens goby,"['fresh', 'brackish', 'salt']",[]
