ScientificName,SpecCode,CommonName,Environments,Subspecies
Coryphopterus alloides,3841,Barfin goby,['salt'],[]
Coryphopterus curasub,70488,,['salt'],[]
Coryphopterus dicrus,3842,Colon goby,['salt'],[]
Coryphopterus eidolon,3843,Góbido pálido,['salt'],[]
Coryphopterus glaucofraenum,3844,Bridled goby,['salt'],[]
Coryphopterus hyalinus,3845,Glass goby,"['brackish', 'salt']",[]
Coryphopterus kuna,63493,Kuna goby,['salt'],[]
Coryphopterus lipernes,3846,Bluenose goby,['salt'],[]
Coryphopterus personatus,3848,Góbido ojón,['salt'],[]
Coryphopterus punctipectophorus,3849,Góbido punteado,['salt'],[]
Coryphopterus thrix,3850,Bartail goby,['salt'],[]
Coryphopterus tortugae,63732,Patch-reef goby,['salt'],[]
Coryphopterus urospilus,25534,Gobio,['salt'],[]
Coryphopterus venezuelae,28076,Sand-canyon goby,['salt'],[]
