ScientificName,SpecCode,CommonName,Environments,Subspecies
Ctenogobius aestivaregia,60424,夏宫吻鰕虎鱼,['fresh'],[]
Ctenogobius boleosoma,3858,Amoré,"['fresh', 'brackish', 'salt']",[]
Ctenogobius cervicosquamus,55205,,"['fresh', 'brackish']",[]
Ctenogobius chengtuensis,59395,,['fresh'],[]
Ctenogobius chusanensis,67673,,"['brackish', 'salt']",[]
Ctenogobius clarki,59366,喀氏吻鰕虎魚,['fresh'],[]
Ctenogobius claytonii,62531,Blackfin goby,"['fresh', 'brackish', 'salt']",[]
Ctenogobius fasciatus,15792,Blackbar Goby,"['fresh', 'brackish', 'salt']",[]
Ctenogobius fukushimai,59378,福岛吻鰕虎鱼,['fresh'],[]
Ctenogobius lepturus,11702,小尾栉鰕虎鱼,"['brackish', 'salt']",[]
Ctenogobius manglicola,46905,Gobio,['salt'],[]
Ctenogobius phenacus,55530,Impostor goby,"['brackish', 'salt']",[]
Ctenogobius pseudofasciatus,3863,Slashcheek goby,"['fresh', 'brackish', 'salt']",[]
Ctenogobius saepepallens,3864,Comma goby,['salt'],[]
Ctenogobius sagittula,3861,Barba de choclo,"['brackish', 'salt']",[]
Ctenogobius shennongensis,59359,神农吻鰕虎鱼,['fresh'],[]
Ctenogobius shufeldti,3865,American freshwater goby,"['fresh', 'brackish']",[]
Ctenogobius smaragdus,3866,Amoré,"['fresh', 'brackish', 'salt']",[]
Ctenogobius stigmaticus,3868,Amoré,['salt'],[]
Ctenogobius stigmaturus,3869,Spottail Goby,"['brackish', 'salt']",[]
Ctenogobius szechuanensis,60225,,['fresh'],[]
Ctenogobius thoropsis,55529,Sperm goby,"['fresh', 'brackish', 'salt']",[]
Ctenogobius vexillifer,66720,,['fresh'],[]
