ScientificName,SpecCode,CommonName,Environments,Subspecies
Elacatinus atronasus,47274,Exuma goby,['salt'],[]
Elacatinus cayman,67639,Cayman cleaner goby,['salt'],[]
Elacatinus centralis,67640,Cayman sponge goby,['salt'],[]
Elacatinus chancei,23734,Góbido de esponja,['salt'],[]
Elacatinus colini,64950,Belize sponge goby,['salt'],[]
Elacatinus evelynae,16640,Gobio hocicudo,['salt'],[]
Elacatinus figaro,50627,Barber goby,['salt'],[]
Elacatinus genie,12443,Cleaner Goby,['salt'],[]
Elacatinus horsti,3873,Gobio de banda amarilla,['salt'],[]
Elacatinus illecebrosus,23732,Barsnout goby,['salt'],[]
Elacatinus jarocho,63411,Jarocho goby,['salt'],[]
Elacatinus lobeli,65036,Caribbean neon goby,['salt'],[]
Elacatinus lori,61017,Linesnout goby,['salt'],[]
Elacatinus louisae,16639,Gobio farol,['salt'],[]
Elacatinus oceanops,3876,Harilik neoonmudil,['salt'],[]
Elacatinus phthirophagus,64757,Noronha cleaner goby,['salt'],[]
Elacatinus pridisi,62023,Trindade cleaner goby,['salt'],[]
Elacatinus prochilos,23733,Broadstripe goby,['salt'],[]
Elacatinus puncticulatus,46894,Gobio,['salt'],[]
Elacatinus randalli,23731,Limpiador amarillo,['salt'],[]
Elacatinus serranilla,64951,Serranilla goby,['salt'],[]
Elacatinus tenox,57961,Slaty goby,['salt'],[]
Elacatinus xanthiprora,3878,Yellowprow goby,['salt'],[]
