ScientificName,SpecCode,CommonName,Environments,Subspecies
Gnatholepis anjerensis,23595,Ade-ômonhaze,"['brackish', 'salt']",[]
Gnatholepis argus,64696,,['salt'],[]
Gnatholepis caudimaculata,66650,,['salt'],[]
Gnatholepis cauerensis,9950,Bia,"['brackish', 'salt']",[]
Gnatholepis gymnocara,59876,Nakedcheek sandgoby,['salt'],[]
Gnatholepis knighti,66652,,['salt'],[]
Gnatholepis ophthalmotaenia,66651,,['salt'],[]
Gnatholepis pascuensis,59878,Rapanui goby,['salt'],[]
Gnatholepis thompsoni,3855,Góbido cararrayada,['salt'],[]
Gnatholepis yoshinoi,65197,Hishihire-oomonhaze,['salt'],[]
