ScientificName,SpecCode,CommonName,Environments,Subspecies
Gobius ater,46332,Bellotijev glavoč,['salt'],[]
Gobius ateriformis,58273,,['salt'],[]
Gobius auratus,4902,Babka złocista,['salt'],[]
Gobius bontii,11660,Occasional-shrimp goby,"['fresh', 'brackish', 'salt']",[]
Gobius bucchichi,46334,Anemonengrundel,['salt'],[]
Gobius cobitis,4579,Burdullak,"['brackish', 'salt']",[]
Gobius couchi,9201,Couch-Grundel,"['brackish', 'salt']",[]
Gobius cruentatus,7648,Blutmund-Grundel,['salt'],[]
Gobius fallax,16287,Bledi glavaè,['salt'],[]
Gobius gasteveni,7660,Gobie de Steven,"['brackish', 'salt']",[]
Gobius geniporus,16289,Burdullak,['salt'],[]
Gobius hypselosoma,9959,高体鰕虎鱼,"['fresh', 'brackish']",[]
Gobius incognitus,68001,Gobie méconnu,['salt'],[]
Gobius kolombatovici,57793,Ghiozzo di Kolombatović,['salt'],[]
Gobius koseirensis,61336,,['salt'],[]
Gobius leucomelas,61337,,['salt'],[]
Gobius niger,72,Abu-kirsh,"['brackish', 'salt']",[]
Gobius ophiocephalus,13018,Babka wężogłowa,"['brackish', 'salt']",[]
Gobius paganellus,73,Alcaboz,"['fresh', 'brackish', 'salt']",[]
Gobius roulei,46335,Ghiozzo di Roulei,['salt'],[]
Gobius rubropunctatus,22761,紅斑鰕虎魚,"['brackish', 'salt']",[]
Gobius salamansa,68634,Gobie de Salamansa,['salt'],[]
Gobius scorteccii,9962,斯氏鰕虎魚,['fresh'],[]
Gobius senegambiensis,22765,塞內加爾鰕虎魚,['salt'],[]
Gobius strictus,16290,Ghiozzo di Schmidt,['salt'],[]
Gobius tetrophthalmus,58274,,['salt'],[]
Gobius tropicus,63781,,['salt'],[]
Gobius vittatus,46337,Çizgili kayabalığı,['salt'],[]
Gobius xanthocephalus,56307,Gelbkopf-Grundel,['salt'],[]
Gobius xoriguer,69383,Cabot xoriguer,['salt'],[]
