ScientificName,SpecCode,CommonName,Environments,Subspecies
Istigobius campbelli,4336,Cá Bống cam bên,['salt'],[]
Istigobius decoratus,4328,Bia,['salt'],[]
Istigobius diadema,25201,Eye-line sand-goby,"['fresh', 'brackish', 'salt']",[]
Istigobius goldmanni,4327,Bia,['salt'],[]
Istigobius hoesei,4335,Hoese's sandgoby,['salt'],[]
Istigobius hoshinonis,1102,Hoshinohaze,['salt'],[]
Istigobius murdyi,69114,Murdy's sandgoby,['salt'],[]
Istigobius nigroocellatus,4325,Bia,['salt'],[]
Istigobius ornatus,4322,Belodok batik,"['brackish', 'salt']",[]
Istigobius rigilius,4324,Bia,['salt'],[]
Istigobius spence,4337,Pearl goby,"['brackish', 'salt']",[]
