ScientificName,SpecCode,CommonName,Environments,Subspecies
Luciogobius adapel,59975,Kawari-mimizuhaze,['salt'],[]
Luciogobius albus,23715,Dôkutsu-mimizuhaze,"['fresh', 'brackish']",[]
Luciogobius ama,59329,大头犬竿鰕虎鱼,['salt'],[]
Luciogobius brevipterus,60437,短鰭竿鰕虎魚,['fresh'],[]
Luciogobius dormitoris,23716,Nemuri-mimizuhaze,['brackish'],[]
Luciogobius elongatus,23714,Naga-mimizuhaze,['salt'],[]
Luciogobius fluvialis,66112,Nagare-mimizuhaze,['fresh'],[]
Luciogobius fonticola,66111,Yusui-mimizuhaze,['brackish'],[]
Luciogobius grandis,23712,Ô-mimizuhaze,['salt'],[]
Luciogobius guttatus,15822,Flat-headed goby,"['fresh', 'brackish', 'salt']",[]
Luciogobius koma,23710,Komahaze,['salt'],[]
Luciogobius pallidus,23717,Ido-mimizuhaze,"['fresh', 'brackish', 'salt']",[]
Luciogobius parvulus,23718,Nansenhaze,['salt'],[]
Luciogobius platycephalus,23713,Yari-mimizuhaze,['salt'],[]
Luciogobius ryukyuensis,66024,Minami-hime-mimizuhaze,['fresh'],[]
Luciogobius saikaiensis,23711,Hige-mimizuhaze,['salt'],[]
