ScientificName,SpecCode,CommonName,Environments,Subspecies
Microgobius brevispinis,46891,Balboa goby,['salt'],[]
Microgobius carri,3890,Góbido lista amarilla,['salt'],[]
Microgobius crocatus,54398,紅花侏鰕虎魚,['salt'],[]
Microgobius curtus,46913,短侏鰕虎魚,['salt'],[]
Microgobius cyclolepis,46908,Gobio,['salt'],[]
Microgobius emblematicus,46847,Emblem goby,['salt'],[]
Microgobius erectus,46888,Erect goby,['salt'],[]
Microgobius gulosus,3891,Clown goby,"['fresh', 'brackish', 'salt']",[]
Microgobius meeki,28135,Amborê,['salt'],[]
Microgobius microlepis,3892,Banner goby,['salt'],[]
Microgobius miraflorensis,46837,Gobio,"['brackish', 'salt']",[]
Microgobius signatus,28136,Gobio señal,['salt'],[]
Microgobius tabogensis,46839,Gobio,['salt'],[]
Microgobius thalassinus,3893,Green goby,['salt'],[]
Microgobius urraca,66801,Dark-finned sand goby,['salt'],[]
