ScientificName,SpecCode,CommonName,Environments,Subspecies
Myersina adonis,64549,Adonis shrimpgoby,['salt'],[]
Myersina balteata,69087,Belted shrimpgoby,['salt'],[]
Myersina crocata,59240,Yellow-spotted shrimpgoby,['salt'],[]
Myersina filifer,23640,Cá Bống sao chấm mây,['salt'],[]
Myersina lachneri,27567,Black-mast shrimp-goby,['salt'],[]
Myersina macrostoma,23642,Bia,"['brackish', 'salt']",[]
Myersina nigrivirgata,23643,Blackline shrimpgoby,['salt'],[]
Myersina papuanus,61317,,['salt'],[]
Myersina pretoriusi,17051,Pondoland sailfin goby,['salt'],[]
Myersina yangii,59322,杨氏丝鰕虎鱼,['salt'],[]
