ScientificName,SpecCode,CommonName,Environments,Subspecies
Oxyurichthys auchenolepis,59250,Belukor,['salt'],[]
Oxyurichthys chinensis,68800,,['salt'],[]
Oxyurichthys cornutus,61027,Horned tentacle goby,['salt'],[]
Oxyurichthys guibei,9977,盖氏沟鰕虎鱼,['salt'],[]
Oxyurichthys heisei,51697,Ribbon goby,['salt'],[]
Oxyurichthys keiensis,9955,Kei goby,"['brackish', 'salt']",[]
Oxyurichthys lemayi,8029,Galon-dikkop,['salt'],[]
Oxyurichthys limophilus,68801,,['salt'],[]
Oxyurichthys lonchotus,51700,Speartail mudgoby,['salt'],[]
Oxyurichthys microlepis,9978,Beloso,"['brackish', 'salt']",[]
Oxyurichthys mindanensis,59780,,['salt'],[]
Oxyurichthys notonema,61306,Mindanao sleeper-goby,['salt'],[]
Oxyurichthys omanensis,70108,Oman's eyebrow goby,"['brackish', 'salt']",[]
Oxyurichthys ophthalmonema,10298,Belodok kening,"['fresh', 'brackish', 'salt']",[]
Oxyurichthys papuensis,8030,Bia,"['brackish', 'salt']",[]
Oxyurichthys paulae,51698,Jester goby,['salt'],[]
Oxyurichthys petersii,67635,Peter's goby,['salt'],[]
Oxyurichthys rapa,68802,,['salt'],[]
Oxyurichthys stigmalophius,3867,Gobio aleta manchada,['salt'],[]
Oxyurichthys takagi,51699,高木氏沟鰕虎鱼,['salt'],[]
Oxyurichthys tentacularis,9979,Cá Bống van mắt,"['brackish', 'salt']",[]
Oxyurichthys uronema,59259,Longtail tentacle goby,['salt'],[]
Oxyurichthys viridis,59872,,"['brackish', 'salt']",[]
Oxyurichthys visayanus,8267,Belodok Filipina,['brackish'],[]
Oxyurichthys zeta,68803,,['salt'],[]
