ScientificName,SpecCode,CommonName,Environments,Subspecies
Pseudogobius aquilonius,69765,Northern snubnose goby,"['brackish', 'salt']",[]
Pseudogobius avicennia,27420,Avicennia snubnose goby,"['fresh', 'brackish']",[]
Pseudogobius cinctus,69766,Banded snubnose goby,"['fresh', 'brackish']",[]
Pseudogobius eos,69767,Eastern bluespot goby,"['brackish', 'salt']",[]
Pseudogobius fulvicaudus,67521,Yellowfin snubnose goby,['brackish'],[]
Pseudogobius hoesei,69768,Bandtail snubnose goby,"['fresh', 'brackish']",[]
Pseudogobius jeffi,69769,Jeff's snubnose goby,"['fresh', 'brackish']",[]
Pseudogobius masago,23673,Masago snubnose goby,"['brackish', 'salt']",[]
Pseudogobius melanosticta,59873,Black-spotted snubnose goby,"['fresh', 'brackish', 'salt']",[]
Pseudogobius minimus,25249,Miniature snubnose goby,['brackish'],[]
Pseudogobius olorum,22786,Bluespot goby,"['fresh', 'brackish']",[]
Pseudogobius poicilosoma,25093,Bia,"['fresh', 'brackish', 'salt']",[]
Pseudogobius rhizophora,69770,Racing-stripe snubnose goby,"['brackish', 'salt']",[]
Pseudogobius taijiangensis,67522,Taijiang snubnose goby,['brackish'],[]
Pseudogobius verticalis,69771,Blackline snubnose goby,"['brackish', 'salt']",[]
