ScientificName,SpecCode,CommonName,Environments,Subspecies
Rhinogobius albimaculatus,54753,白斑吻鰕虎魚,['fresh'],[]
Rhinogobius aporus,60512,无孔拟吻鰕虎鱼,['fresh'],[]
Rhinogobius biwaensis,68190,Biwa-yoshinobori,['fresh'],[]
Rhinogobius boa,62712,,['fresh'],[]
Rhinogobius brunneus,23675,Amur goby,"['fresh', 'brackish', 'salt']",[]
Rhinogobius bucculentus,27647,,['fresh'],[]
Rhinogobius candidianus,27215,明潭吻鰕虎,['fresh'],[]
Rhinogobius carpenteri,27650,Kuchu,['fresh'],[]
Rhinogobius changjiangensis,61849,,['fresh'],[]
Rhinogobius changtinensis,63244,,['fresh'],[]
Rhinogobius chiengmaiensis,61736,Chiangmai stream goby,['fresh'],[]
Rhinogobius cliffordpopei,60226,波氏吻鰕虎魚,['fresh'],[]
Rhinogobius davidi,54774,戴氏吻鰕虎魚,['fresh'],[]
Rhinogobius delicatus,27217,細斑吻鰕虎,['fresh'],[]
Rhinogobius duospilus,55204,Saumaturpatokko,"['fresh', 'brackish']",[]
Rhinogobius estrellae,69598,Estrella goby,['fresh'],[]
Rhinogobius filamentosus,60229,丝鳍吻鰕虎鱼,['fresh'],[]
Rhinogobius flavoventris,5342,Bia,['fresh'],[]
Rhinogobius flumineus,15824,Kawa-yoshinobori,['fresh'],[]
Rhinogobius formosanus,27332,台湾名古屋吻鰕虎鱼,['fresh'],[]
Rhinogobius genanematus,59342,頰紋吻鰕虎魚,['fresh'],[]
Rhinogobius gigas,27074,大吻鰕虎,['fresh'],[]
Rhinogobius giurinus,15825,Cá Bống cát,"['fresh', 'brackish', 'salt']",[]
Rhinogobius henchuenensis,27218,恆春吻鰕虎,['fresh'],[]
Rhinogobius henryi,66241,,['fresh'],[]
Rhinogobius honghensis,59345,紅河吻鰕虎魚,['fresh'],[]
Rhinogobius imfasciocaudatus,65691,,['fresh'],[]
Rhinogobius immaculatus,69177,,['salt'],[]
Rhinogobius lanyuensis,54599,兰屿吻鰕虎,['fresh'],[]
Rhinogobius leavelli,60211,李氏吻鰕虎魚,['fresh'],[]
Rhinogobius lentiginis,54776,雀斑吻鰕虎魚,['fresh'],[]
Rhinogobius lianchengensis,69918,,['fresh'],[]
Rhinogobius lindbergi,60231,林氏吻鰕虎魚,['fresh'],[]
Rhinogobius lineatus,54756,線紋吻鰕虎魚,['fresh'],[]
Rhinogobius lingtongyanensis,69908,,['fresh'],[]
Rhinogobius linshuiensis,61850,,['fresh'],[]
Rhinogobius longipinnis,65695,,['fresh'],[]
Rhinogobius longyanensis,64751,,['fresh'],[]
Rhinogobius lungwoensis,63245,,['fresh'],[]
Rhinogobius maculafasciatus,27219,斑带吻鰕虎,['fresh'],[]
Rhinogobius maculicervix,58054,,['fresh'],[]
Rhinogobius mekongianus,26861,老挝吻鰕虎鱼,['fresh'],[]
Rhinogobius milleri,60215,,['fresh'],[]
Rhinogobius multimaculatus,60219,密点吻鰕虎鱼,['fresh'],[]
Rhinogobius nagoyae,27331,名古屋吻鰕虎魚,['fresh'],[]
Rhinogobius nammaensis,60221,,['fresh'],[]
Rhinogobius nandujiangensis,61851,,['fresh'],[]
Rhinogobius nantaiensis,27072,南台吻鰕虎,['fresh'],[]
Rhinogobius ogasawaraensis,66406,Ogasawara-yoshinobori,['fresh'],[]
Rhinogobius parvus,60232,小吻鰕虎魚,['fresh'],[]
Rhinogobius philippinus,27651,Biang tuku,['fresh'],[]
Rhinogobius ponkouensis,63246,,['fresh'],[]
Rhinogobius reticulatus,63620,,['fresh'],[]
Rhinogobius rubrolineatus,64820,,['fresh'],[]
Rhinogobius rubromaculatus,27214,短吻紅斑吻鰕虎魚,['fresh'],[]
Rhinogobius sagittus,64821,,['fresh'],[]
Rhinogobius sangenloensis,67763,,['fresh'],[]
Rhinogobius similis,23114,Amur goby,['fresh'],[]
Rhinogobius sulcatus,62715,,['fresh'],[]
Rhinogobius taenigena,54757,带颊吻鰕虎鱼,['fresh'],[]
Rhinogobius tandikan,69599,Tandikan goby,['fresh'],[]
Rhinogobius telma,69609,Tokai-yoshinobori,"['fresh', 'brackish']",[]
Rhinogobius tyoni,69610,Shimahire -yoshinobori,"['fresh', 'brackish']",[]
Rhinogobius variolatus,62713,,['fresh'],[]
Rhinogobius vermiculatus,60216,,['fresh'],[]
Rhinogobius virgigena,62714,,['fresh'],[]
Rhinogobius wangchuangensis,61852,,['fresh'],[]
Rhinogobius wangi,63379,,['fresh'],[]
Rhinogobius wuyanlingensis,64737,,['fresh'],[]
Rhinogobius wuyiensis,64013,,['fresh'],[]
Rhinogobius xianshuiensis,54315,仙游吻鰕虎魚,['fresh'],[]
Rhinogobius yaima,69226,Yaima-hira-yoshinobori,['fresh'],[]
Rhinogobius yangminshanensis,69917,,['fresh'],[]
Rhinogobius yaoshanensis,60224,瑤山吻鰕虎魚,['fresh'],[]
Rhinogobius yonezawai,69225,Kemmun-hira-yoshinobori,['fresh'],[]
Rhinogobius zhoui,65269,,['fresh'],[]
