ScientificName,SpecCode,CommonName,Environments,Subspecies
Sicydium adelum,58009,Chupapiedra,['fresh'],[]
Sicydium altum,59410,Chupapiedra,['fresh'],[]
Sicydium brevifile,9991,Gobie,['fresh'],[]
Sicydium buscki,59363,Busck's Stone-biting Goby,['fresh'],[]
Sicydium bustamantei,66155,巴氏韌鰕虎魚,['fresh'],[]
Sicydium cocoense,54401,科科斯岛瓢鰕虎鱼,"['fresh', 'brackish', 'salt']",[]
Sicydium crenilabrum,50825,Bredbåndet flodkutling,['fresh'],[]
Sicydium fayae,54402,費伊氏瓢鰕虎魚,"['fresh', 'brackish', 'salt']",[]
Sicydium gilberti,59341,,['fresh'],[]
Sicydium gymnogaster,54403,Dormilón de Veracruz,"['fresh', 'brackish']",[]
Sicydium hildebrandi,54400,希氏瓢鰕虎魚,"['fresh', 'brackish']",[]
Sicydium montanum,67264,,['fresh'],[]
Sicydium multipunctatum,50324,Dormilón pecoso,['fresh'],[]
Sicydium plumieri,47148,Ceti,['fresh'],[]
Sicydium punctatum,23400,Colle-roche,['fresh'],[]
Sicydium rosenbergii,64745,,['fresh'],[]
Sicydium salvini,54404,Chupapiedra,"['fresh', 'brackish']",[]
