ScientificName,SpecCode,CommonName,Environments,Subspecies
Tigrigobius digueti,46896,Banded cleaner goby,['salt'],[]
Tigrigobius dilepis,16644,Gobio naranja,['salt'],[]
Tigrigobius gemmatus,16642,Frecklefin goby,['salt'],[]
Tigrigobius harveyi,67706,Cayman greenbanded goby,['salt'],[]
Tigrigobius janssi,46868,Gobio lomopintado,['salt'],[]
Tigrigobius limbaughi,61016,Gobio insólito,['salt'],[]
Tigrigobius macrodon,3875,Gobio tigre,['salt'],[]
Tigrigobius multifasciatus,12444,Gobio rayado,['salt'],[]
Tigrigobius nesiotes,54395,Brokenhband cleaner goby,['salt'],[]
Tigrigobius pallens,16643,Gobio semidesnudo,['salt'],[]
Tigrigobius panamensis,65484,Panamanian Greenbanded Goby,['salt'],[]
Tigrigobius redimiculus,63413,Cinta Goby,['salt'],[]
Tigrigobius rubrigenis,65483,Redcheek goby,['salt'],[]
Tigrigobius saucrus,57964,Gobio Severo,['salt'],[]
Tigrigobius zebrellus,47275,Zebrette goby,['salt'],[]
