ScientificName,SpecCode,CommonName,Environments,Subspecies
Trimma abyssum,68673,Abyssal pygmygoby,['salt'],[]
Trimma agrena,62959,Fishnet pygmygoby,['salt'],[]
Trimma anaima,61008,Pale dwarfgoby,['salt'],[]
Trimma annosum,61431,Greybearded pygmy goby,['salt'],[]
Trimma anthrenum,62864,Honey-bee pygmy goby,['salt'],[]
Trimma aturirii,67726,Aturiri's pygmy goby,['salt'],[]
Trimma avidori,28069,Avidor's pygmygoby,['salt'],[]
Trimma barralli,28063,Barrall's pygmygoby,['salt'],[]
Trimma bathum,68223,Deep-reef pygmygoby,['salt'],[]
Trimma benjamini,28081,Redface dwarf goby,['salt'],[]
Trimma bisella,61009,Two-saddle pygmygoby,['salt'],[]
Trimma blematium,68727,Blue-eyed pygmygoby,['salt'],[]
Trimma burridgeae,68088,Mary's pygmygoby,['salt'],[]
Trimma caesiura,22493,Benihaze,['salt'],[]
Trimma cana,62051,Candy-cane pygmy goby,['salt'],[]
Trimma capostriatum,67938,Spotted redlined pygmygoby,['salt'],[]
Trimma caudipunctatum,64979,Daitoku-benihaze,['salt'],[]
Trimma caudomaculatum,68677,Blotch-tailed pygmygoby,['salt'],[]
Trimma cheni,66200,Face-stripe pygmy goby,['salt'],[]
Trimma chledophilum,68674,Mud pygmy goby,['salt'],[]
Trimma citrum,69673,Lemon pygmygoby,['salt'],[]
Trimma corallinum,23082,Kolletjies-dikkop,['salt'],[]
Trimma corerefum,68089,Colin's pygmygoby,['salt'],[]
Trimma dalerocheila,61324,Hotlips pygmygoby,['salt'],[]
Trimma emeryi,25541,Emery's goby,['salt'],[]
Trimma erdmanni,66202,Erdmann's pygmygoby,['salt'],[]
Trimma erwani,68572,Slanted pygmygoby,['salt'],[]
Trimma fangi,62958,Fang's pygmygoby,['salt'],[]
Trimma fasciatum,67789,Dokutsu-shima-benihaze,['salt'],[]
Trimma filamentosum,28064,Long-spine pygmygoby,['salt'],[]
Trimma finistrinum,68224,Porthole pygmygoby,['salt'],[]
Trimma fishelsoni,28070,Fishelson's pygmygoby,['salt'],[]
Trimma flammeum,25543,Flame goby,['salt'],[]
Trimma flavatrum,63374,Hime-aogi-haze,['salt'],[]
Trimma flavicaudatum,28071,Yellow-tailed pygmygoby,['salt'],[]
Trimma fraena,59340,Bridle pygmygoby,['salt'],[]
Trimma fucatum,63544,Harlot pygmy goby,['salt'],[]
Trimma gigantum,63541,Giant pygmy goby,['salt'],[]
Trimma grammistes,23577,Black-striped pygmygoby,['salt'],[]
Trimma griffithsi,59344,Griffiths' dwarfgoby,['salt'],[]
Trimma habrum,66203,Delicate pygmy goby,['salt'],[]
Trimma haima,52939,Cut-face pygmygoby,['salt'],[]
Trimma haimassum,66204,Blood-spot pygmy goby,['salt'],[]
Trimma halonevum,61010,Pimple pygmygoby,['salt'],[]
Trimma hamartium,68553,Mistaken pygmygoby,['salt'],[]
Trimma hayashii,63375,Eri-hoshi-beni-haze,['salt'],[]
Trimma helenae,67265,Helen's pygmy goby,['salt'],[]
Trimma hoesei,27571,Forktail dwarfgoby,['salt'],[]
Trimma hollemani,68090,Holleman's pygmygoby,['salt'],[]
Trimma hotsarihiense,64908,Helen reef pygmy goby,['salt'],[]
Trimma imaii,64978,Imai's dwarfgoby,['salt'],[]
Trimma insularum,67643,Cocos pygmygoby,['salt'],[]
Trimma irinae,67341,Irina's pygmy goby,['salt'],[]
Trimma kalum,69135,Beautiful pygmygoby,['salt'],[]
Trimma kardium,67727,Heart pygmy goby,['salt'],[]
Trimma kitrinum,67744,Citron pygmygoby,['salt'],[]
Trimma kudoi,63759,Kudo's pygmygoby,['salt'],[]
Trimma lantana,62961,Lantana dwarfgoby,['salt'],[]
Trimma longispinum,70067,Long-spined pygmygoby,['salt'],[]
Trimma luteum,68574,Yellow barred pygmygoby,['salt'],[]
Trimma macrophthalmus,26320,Flame goby,['salt'],[]
Trimma maiandros,66059,Meander dwarfgoby,['salt'],[]
Trimma marinae,62226,Princess pygmy goby,['salt'],[]
Trimma matsunoi,67791,Kashiwa-benihaze,['salt'],[]
Trimma meityae,68728,Meity's pygmygoby,['salt'],[]
Trimma mendelssohni,28072,Mendelssohn's pygmygoby,['salt'],[]
Trimma meranyx,67434,Day-night pygmy goby,['salt'],[]
Trimma meristum,68084,Christiane's pygmygoby,['salt'],[]
Trimma milta,61011,Moorea pygmy goby,['salt'],[]
Trimma multiclitellum,68676,Multisaddle pygmy goby,['salt'],[]
Trimma nasa,62228,Nasal dwarfgoby,['salt'],[]
Trimma nauagium,68675,Shipwreck pygmy goby,['salt'],[]
Trimma naudei,22495,Naude's pygmygoby,['salt'],[]
Trimma necopinum,52429,Australian pygmy goby,['salt'],[]
Trimma nomurai,63945,Kataboshinishiki-benihaze,['salt'],[]
Trimma nubarum,70346,Rift pygmygoby,['salt'],[]
Trimma okinawae,7222,Bia,['salt'],[]
Trimma omanense,61012,Crescent-wing pygmygoby,['salt'],[]
Trimma pajama,67435,Pajama pygmy goby,['salt'],[]
Trimma panemorfum,69615,Exquisite pygmygoby,['salt'],[]
Trimma papayum,66205,Pawpaw pygmy goby,['salt'],[]
Trimma pentherum,68085,Mourning pygmygoby,['salt'],[]
Trimma preclarum,62865,Exquisite pygmy goby,['salt'],[]
Trimma putrai,68972,Putra's pygmygoby,['salt'],[]
Trimma quadrimaculatum,68678,Four-spotted pygmygoby,['salt'],[]
Trimma randalli,63542,Randall's pygmy goby,['salt'],[]
Trimma readerae,68086,Reader's pygmygoby,['salt'],[]
Trimma rubromaculatum,58619,Red-blotched pygmy-goby,['salt'],[]
Trimma sanguinellum,63549,Sanguinello pygmy goby,['salt'],[]
Trimma sheppardi,28073,Sheppard's dwarfgoby,['salt'],[]
Trimma sostra,62052,Sostra pygmy goby,['salt'],[]
Trimma squamicana,62053,Candy scale pygmy goby,['salt'],[]
Trimma stobbsi,61013,Stobb's dwarfgoby,['salt'],[]
Trimma striatum,7223,Bia,['salt'],[]
Trimma tauroculum,63543,Bullseye pygmy goby,['salt'],[]
Trimma taylori,12752,Cave dwarfgoby,['salt'],[]
Trimma tevegae,12754,Aogihaze,['salt'],[]
Trimma trioculatum,67729,Three-eyed pygmy goby,['salt'],[]
Trimma ukkriti,69362,Ukkrit's pygmygoby,['salt'],[]
Trimma unisquame,58501,Blackmargin pygmy goby,['salt'],[]
Trimma volcana,62960,Volcano pygmy goby,['salt'],[]
Trimma wangunui,68986,Wangunu's pygmygoby,['salt'],[]
Trimma winchi,59320,Winch's pygmygoby,['salt'],[]
Trimma winterbottomi,26991,Trench-head pygmygoby,['salt'],[]
Trimma woutsi,61014,Wouter's pygmygoby,['salt'],[]
Trimma xanthochrum,66206,Step-spot pygmy goby,['salt'],[]
Trimma xanthum,68087,Yellow-red pygmygoby,['salt'],[]
Trimma yanagitai,63944,Brown pygmygoby,['salt'],[]
Trimma yanoi,63760,Hotei-benihaze,['salt'],[]
Trimma yoshinoi,68315,Ukibenihaze,['salt'],[]
Trimma zurae,67436,Marg's pygmy goby,['salt'],[]
