ScientificName,SpecCode,CommonName,Environments,Subspecies
Varicus adamsi,70007,Twilight goby,['salt'],[]
Varicus bucca,57931,管鰕虎魚,['salt'],[]
Varicus cephalocellatus,70010,Ocellated splitfin goby,['salt'],[]
Varicus decorum,70009,Decorated splitfin goby,['salt'],[]
Varicus lacerta,70219,Godzilla goby,['salt'],[]
Varicus marilynae,3901,Orangebelly goby,['salt'],[]
Varicus nigritus,70008,Banded splitfin goby,['salt'],[]
Varicus prometheus,70295,Gobio prometeico,['salt'],[]
Varicus roatanensis,70297,Gobio de Roatan,['salt'],[]
Varicus veliguttatus,70006,Spotted-sail goby,['salt'],[]
