ScientificName,SpecCode,CommonName,Environments,Subspecies
Gobiobotia abbreviata,55894,¶ÌÉíöúõD,['fresh'],[]
Gobiobotia brevibarba,25582,Hrouzkovec krátkovousý,['fresh'],[]
Gobiobotia brevirostris,55899,Hrouzkovec krátkorypý,['fresh'],[]
Gobiobotia cheni,17297,Cheni haberünt,['fresh'],[]
Gobiobotia filifer,55898,Hrouzkovec čínský,['fresh'],[]
Gobiobotia guilingensis,55895,¹ðÁÖöúõD,['fresh'],[]
Gobiobotia homalopteroidea,55426,Eight-whisker gudgeon,['fresh'],[]
Gobiobotia jiangxiensis,58354,Hrouzkovec šangraonský,['fresh'],[]
Gobiobotia kolleri,54988,Hrouzkovec Kollerův,"['fresh', 'brackish']",[]
Gobiobotia lii,69678,李氏鳅鮀,['fresh'],[]
Gobiobotia longibarba,54987,Hrouzkovec dlouhovousý,['fresh'],[]
Gobiobotia macrocephala,25580,Hrouzkovec hlavatý,['fresh'],[]
Gobiobotia meridionalis,65251,Lõuna-haberünt,['fresh'],[]
Gobiobotia naktongensis,25583,Hinsumaja,['fresh'],[]
Gobiobotia nicholsi,60413,Hrouzkovec Nicholsův,['fresh'],[]
Gobiobotia pappenheimi,47278,Eightbarbel gudgeon,['fresh'],[]
Gobiobotia paucirastella,55897,Hrouzkovec východní,['fresh'],[]
Gobiobotia tungi,55896,Hrouzkovec Tungův,['fresh'],[]
Gobiobotia yuanjiangensis,61692,Yunnani haberünt,['fresh'],[]
