ScientificName,SpecCode,CommonName,Environments,Subspecies
Hemibarbus brevipennus,55968,Hrouz východoasijský,['fresh'],[]
Hemibarbus labeo,17301,Amur barbel,['fresh'],[]
Hemibarbus lehoai,62821,Hoa hobupardkala,['fresh'],[]
Hemibarbus longirostris,22907,Hrouz dlouhorypý,['fresh'],[]
Hemibarbus macracanthus,14402,Hrouz čínský,['fresh'],[]
Hemibarbus maculatus,4752,&#33457;&#19579;,['fresh'],[]
Hemibarbus medius,55967,Hrouz prostřední,['fresh'],[]
Hemibarbus mylodon,25573,Korea hobupardkala,['fresh'],[]
Hemibarbus qianjiangensis,55969,Hrouz tonglunský,['fresh'],[]
Hemibarbus songloensis,62822,Lô hobupardkala,['fresh'],[]
Hemibarbus thacmoensis,62811,Gâmi hobupardkala,['fresh'],[]
Hemibarbus umbrifer,54966,Hrouz kvantungský,['fresh'],[]
