ScientificName,SpecCode,CommonName,Environments,Subspecies
Microphysogobio alticorpus,62055,Kõrge nokisrünt,['fresh'],[]
Microphysogobio amurensis,47337,Amur longnose gudgeon,['fresh'],[]
Microphysogobio anudarini,63104,Anudarini nokisrünt,['fresh'],[]
Microphysogobio brevirostris,17299,Hrouzek krátkorypý,['fresh'],[]
Microphysogobio chenhsienensis,55905,胡鮈,['fresh'],[]
Microphysogobio chinssuensis,55404,Hiina nokisrünt,['fresh'],[]
Microphysogobio elongatus,54982,Sale nokisrünt,"['fresh', 'brackish']",[]
Microphysogobio exilicauda,67767,Sale hiinarünt,['fresh'],[]
Microphysogobio fukiensis,54981,Fukieni nokisrünt,['fresh'],[]
Microphysogobio hsinglungshanensis,65252,Hebei nokisrünt,['fresh'],[]
Microphysogobio jeoni,59461,Jeoni nokisrünt,['fresh'],[]
Microphysogobio kachekensis,54984,Cá Đục đanh chẫm,"['fresh', 'brackish']",[]
Microphysogobio kiatingensis,54983,Hrouzek lošanský,['fresh'],[]
Microphysogobio koreensis,25586,Hrouzek korejský,['fresh'],[]
Microphysogobio labeoides,55409,Hrouzek hajnanský,['fresh'],[]
Microphysogobio liaohensis,55900,Hrouzek xinminský,['fresh'],[]
Microphysogobio linghensis,55901,Hrouzek čínský,['fresh'],[]
Microphysogobio longidorsalis,25588,Hrouzek dlouhoploutvý,['fresh'],[]
Microphysogobio luhensis,69574,,['fresh'],[]
Microphysogobio microstomus,55902,Hrouzek drobnoústý,['fresh'],[]
Microphysogobio nudiventris,66916,Paljaskõnt-nokisrünt,['fresh'],[]
Microphysogobio pseudoelongatus,59962,Sihvak-nokisrünt,['fresh'],[]
Microphysogobio rapidus,61904,Koolme-nokisrünt,['fresh'],[]
Microphysogobio tafangensis,55904,Hrouzek tafangský,['fresh'],[]
Microphysogobio tungtingensis,47816,Dongtingi nokisrünt,['fresh'],[]
Microphysogobio vietnamica,61268,Hrouzek vietnamský,['fresh'],[]
Microphysogobio wulonghensis,66109,Wulonghe nokisrünt,['fresh'],[]
Microphysogobio xianyouensis,68761,,['fresh'],[]
Microphysogobio yaluensis,25587,Hrouzek severokorejský,['fresh'],[]
Microphysogobio yunnanensis,55903,Cá Đục đanh chẫm mõm ngẫn,['fresh'],[]
Microphysogobio zhangi,68760,,['fresh'],[]
