ScientificName,SpecCode,CommonName,Environments,Subspecies
Cyclothone acclinidens,5116,Benttooth bristlemouth,['salt'],[]
Cyclothone alba,9968,Blek rundkäftfisk,['salt'],[]
Cyclothone atraria,7384,Black bristlefish,['salt'],[]
Cyclothone braueri,1774,Bent - tooth lightfish,['salt'],[]
Cyclothone kobayashii,56147,Kobayashi's bristlemouth,['salt'],[]
Cyclothone livida,9980,Bristlemouth,['salt'],[]
Cyclothone microdon,1775,Ægisstirnir,['salt'],[]
Cyclothone obscura,9983,Hidden bristlemouth,['salt'],[]
Cyclothone pallida,6966,Bicolored Bristlemouth,['salt'],[]
Cyclothone parapallida,16494,Shadow bristlemouth,['salt'],[]
Cyclothone pseudopallida,6967,Bristlemouth,['salt'],[]
Cyclothone pygmaea,9989,Boccatonda nana,['salt'],[]
Cyclothone signata,25278,Bleg rundflab,['salt'],[]
