ScientificName,SpecCode,CommonName,Environments,Subspecies
Gymnotus anguillaris,28044,Alapo,['fresh'],[]
Gymnotus arapaima,58744,,['fresh'],[]
Gymnotus ardilai,62130,,['fresh'],[]
Gymnotus bahianus,52974,巴西裸背电鳗,['fresh'],[]
Gymnotus capanema,66465,,['fresh'],[]
Gymnotus capitimaculatus,67612,,['fresh'],[]
Gymnotus carapo,10915,Akomoe,['fresh'],[]
Gymnotus cataniapo,47941,南美裸背电鳗,['fresh'],[]
Gymnotus chaviro,65263,Anguilla,['fresh'],[]
Gymnotus chimarrao,63822,,['fresh'],[]
Gymnotus choco,61421,Cuchillo,['fresh'],[]
Gymnotus coatesi,48131,Anguilita,['fresh'],[]
Gymnotus coropinae,62079,,['fresh'],[]
Gymnotus cuia,68706,,['fresh'],[]
Gymnotus curupira,62265,,['fresh'],[]
Gymnotus cylindricus,48132,柱形裸背电鳗,['fresh'],[]
Gymnotus darwini,70188,,['fresh'],[]
Gymnotus diamantinensis,59718,,['fresh'],[]
Gymnotus esmeraldas,61422,,['fresh'],[]
Gymnotus henni,61423,Mayupa,['fresh'],[]
Gymnotus inaequilabiatus,48129,糙唇裸背电鳗,['fresh'],[]
Gymnotus interruptus,66947,,['fresh'],[]
Gymnotus javari,61426,Macana,['fresh'],[]
Gymnotus jonasi,58745,,['fresh'],[]
Gymnotus maculosus,52973,Cuchillo,['fresh'],[]
Gymnotus mamiraua,58734,,['fresh'],[]
Gymnotus melanopleura,58747,,['fresh'],[]
Gymnotus obscurus,62266,,['fresh'],[]
Gymnotus omarorum,65157,,['fresh'],[]
Gymnotus onca,58746,,['fresh'],[]
Gymnotus panamensis,61427,,['fresh'],[]
Gymnotus pantanal,62134,,['fresh'],[]
Gymnotus pantherinus,48130,豹紋裸背電鰻,['fresh'],[]
Gymnotus paraguensis,61424,Morenita,['fresh'],[]
Gymnotus pedanopterus,47942,Sarrapu,['fresh'],[]
Gymnotus refugio,70002,,['fresh'],[]
Gymnotus stenoleucus,47943,窄身裸背电鳗,['fresh'],[]
Gymnotus sylvius,57082,雨林裸背电鳗,['fresh'],[]
Gymnotus tigre,61425,Macana tigre,['fresh'],[]
Gymnotus tiquie,65981,Tiquie banded knifefish,['fresh'],[]
Gymnotus ucamara,61428,,['fresh'],[]
Gymnotus varzea,62267,,['fresh'],[]
