ScientificName,SpecCode,CommonName,Environments,Subspecies
Haemulon album,1126,Arrebenta-panela,['salt'],[]
Haemulon atlanticus,70174,,"['brackish', 'salt']",[]
Haemulon aurolineatum,1128,Bocayate muellito,['salt'],[]
Haemulon bonariense,1129,Black grunt,['salt'],[]
Haemulon boschmae,1130,Bronzestripe grunt,['salt'],[]
Haemulon carbonarium,1131,Black grunt,['salt'],[]
Haemulon flaviguttatum,13707,Burro de Cortés,['salt'],[]
Haemulon flavolineatum,1135,Banana grunt,['salt'],[]
Haemulon macrostomum,1136,Caco gris,['salt'],[]
Haemulon maculicauda,8317,Brin,['salt'],[]
Haemulon melanurum,1138,Blacktail grunt,['salt'],[]
Haemulon parra,1139,Album,['salt'],[]
Haemulon plumierii,1140,Abiquara,['salt'],[]
Haemulon schrankii,60756,史氏仿石鱸,['salt'],[]
Haemulon sciurus,1141,Abiquara,['salt'],[]
Haemulon scudderii,13717,Burro pecoso,['salt'],[]
Haemulon sexfasciatum,13718,Burro almejero,['salt'],[]
Haemulon squamipinna,57796,鱗鰭仿石鱸,['salt'],[]
Haemulon steindachneri,1142,Bocacolorá,['salt'],[]
Haemulon striatum,1143,Banana grunt,['salt'],[]
Haemulon vittatum,3572,Boga,['salt'],[]
