ScientificName,SpecCode,CommonName,Environments,Subspecies
Hemiodus amazonum,51224,Amazoninsulkapyrstö,['fresh'],[]
Hemiodus argenteus,51396,Charuto,['fresh'],[]
Hemiodus atranalis,51226,Cruzeiro-do-sul,['fresh'],[]
Hemiodus goeldii,55449,Sølvkarpelaks,['fresh'],[]
Hemiodus gracilis,13113,Charuto,['fresh'],[]
Hemiodus huraulti,27813,Karp-jonn,['fresh'],[]
Hemiodus immaculatus,25718,Charuto,['fresh'],[]
Hemiodus iratapuru,67029,,['fresh'],[]
Hemiodus jatuarana,62070,,['fresh'],[]
Hemiodus langeanii,66686,Charuto,['fresh'],[]
Hemiodus microlepis,25719,Bananinha,['fresh'],[]
Hemiodus orthonops,55704,Bananinha,['fresh'],[]
Hemiodus parnaguae,51394,Avoador,['fresh'],[]
Hemiodus quadrimaculatus,11907,Barred hemiodus,['fresh'],[]
Hemiodus semitaeniatus,11908,Bananinha,['fresh'],[]
Hemiodus sterni,51393,Raitasulkapyrstö,['fresh'],[]
Hemiodus ternetzi,51390,Juovasulkapyrstö,['fresh'],[]
Hemiodus thayeria,51387,Linjasulkapyrstö,['fresh'],[]
Hemiodus tocantinensis,55448,,['fresh'],[]
Hemiodus unimaculatus,25721,Apaolobi,['fresh'],[]
Hemiodus vorderwinkleri,55450,,['fresh'],[]
