ScientificName,SpecCode,CommonName,Environments,Subspecies
Hemiramphus archipelagicus,14303,Agujeta saltona,['salt'],[]
Hemiramphus balao,1057,Abu-minkar,"['brackish', 'salt']",[]
Hemiramphus bermudensis,1058,Agujeta bermuda,['salt'],[]
Hemiramphus brasiliensis,1059,Agujeta,['salt'],[]
Hemiramphus convexus,16884,Buging,['salt'],[]
Hemiramphus depauperatus,7507,Ihe ihe,['salt'],[]
Hemiramphus far,5404,Abo-meshfa,"['brackish', 'salt']",[]
Hemiramphus lutkei,7709,Agujeta de Lutke,"['brackish', 'salt']",[]
Hemiramphus marginatus,9963,Abu-minkar,['salt'],[]
Hemiramphus robustus,16811,Anukai kete,"['brackish', 'salt']",[]
Hemiramphus saltator,3157,Aguja,['salt'],[]
