ScientificName,SpecCode,CommonName,Environments,Subspecies
Hyporhamphus acutus,7505,Acute halfbeak,['salt'],[]
Hyporhamphus affinis,7710,Anek musabah,['salt'],[]
Hyporhamphus australis,12725,Australsk halvnæb,"['brackish', 'salt']",[]
Hyporhamphus balinensis,16813,Balinese garfish,['salt'],[]
Hyporhamphus brederi,57247,,['fresh'],[]
Hyporhamphus capensis,7711,Cape halfbeak,"['fresh', 'brackish', 'salt']",[]
Hyporhamphus collettei,65996,,['salt'],[]
Hyporhamphus dussumieri,12895,Agujeta de Dussumier,['salt'],[]
Hyporhamphus erythrorinchus,53536,Balaou,['salt'],[]
Hyporhamphus gamberur,53427,Red Sea halfbeak,['salt'],[]
Hyporhamphus gernaerti,16952,水針,['salt'],[]
Hyporhamphus gilli,13743,Aguja,['salt'],[]
Hyporhamphus ihi,13135,Garfish,['salt'],[]
Hyporhamphus improvisus,7712,Fanea,['salt'],[]
Hyporhamphus intermedius,12985,Asian pencil halfbeak,"['fresh', 'brackish', 'salt']",[]
Hyporhamphus limbatus,8313,Agujeta congaturí,"['fresh', 'brackish', 'salt']",[]
Hyporhamphus meeki,53540,Agujeta flaca,"['fresh', 'brackish', 'salt']",[]
Hyporhamphus melanochir,14582,Dusky garfish,"['brackish', 'salt']",[]
Hyporhamphus melanopterus,16815,Buging,['salt'],[]
Hyporhamphus mexicanus,53538,Mexican halfbeak,['fresh'],[]
Hyporhamphus naos,61365,Pacific silverstripe halfbeak,"['brackish', 'salt']",[]
Hyporhamphus neglectissimus,16817,Australian neglected halfbeak,['salt'],[]
Hyporhamphus neglectus,16816,Buging,"['brackish', 'salt']",[]
Hyporhamphus pacificus,7506,Acute halfbeak,['salt'],[]
Hyporhamphus paucirastris,17035,少耙下?魚,['salt'],[]
Hyporhamphus picarti,9010,Abu-minkar,"['brackish', 'salt']",[]
Hyporhamphus quoyi,8262,Agujeta de Quoy,"['fresh', 'brackish', 'salt']",[]
Hyporhamphus regularis,17081,Beakie,"['fresh', 'brackish']",[]
Hyporhamphus roberti,7538,Aguja,"['brackish', 'salt']",[]
Hyporhamphus rosae,3159,Agujeta califórnica,"['fresh', 'brackish', 'salt']",[]
Hyporhamphus sajori,305,Agujeta del Japón,"['fresh', 'brackish', 'salt']",[]
Hyporhamphus sindensis,28131,Sind halfbeak,['salt'],[]
Hyporhamphus snyderi,13745,Aguja,['salt'],[]
Hyporhamphus taiwanensis,17037,台下鱵,['fresh'],[]
Hyporhamphus unicuspis,46438,Simpletooth halfbeak,['salt'],[]
Hyporhamphus unifasciatus,1060,Aguja,"['brackish', 'salt']",[]
Hyporhamphus xanthopterus,25044,Halfbeak,"['fresh', 'brackish', 'salt']",[]
Hyporhamphus yuri,17039,Fela,['salt'],[]
