ScientificName,SpecCode,CommonName,Environments,Subspecies
Chasmocranus bleekeri,47783,Casue de imé,['fresh'],[]
Chasmocranus brachynemus,57665,Bagrinho,['fresh'],[]
Chasmocranus brevior,47784,Casue de imé,['fresh'],[]
Chasmocranus chimantanus,47786,委內瑞拉鼬鯰,['fresh'],[]
Chasmocranus longior,47799,Iwiepu,['fresh'],[]
Chasmocranus lopezae,61784,,['fresh'],[]
Chasmocranus peruanus,47805,Bagre,['fresh'],[]
Chasmocranus quadrizonatus,47806,Bagre,['fresh'],[]
Chasmocranus rosae,47807,罗莎氏鼬鲶,['fresh'],[]
Chasmocranus surinamensis,47809,,['fresh'],[]
Chasmocranus tapanahoniensis,47811,Casue de imé,['fresh'],[]
Chasmocranus truncatorostris,47814,Bagre do banhado,['fresh'],[]
