ScientificName,SpecCode,CommonName,Environments,Subspecies
Phenacorhamdia anisura,48387,委內瑞拉準鼬鯰,['fresh'],[]
Phenacorhamdia boliviana,48389,Bagre,['fresh'],[]
Phenacorhamdia hoehnei,48404,Bagrinho,['fresh'],[]
Phenacorhamdia macarenensis,53226,哥伦比亚准鼬鲶,['fresh'],[]
Phenacorhamdia nigrolineata,61785,,['fresh'],[]
Phenacorhamdia provenzanoi,64282,,['fresh'],[]
Phenacorhamdia somnians,48391,Bagrinho,['fresh'],[]
Phenacorhamdia taphorni,64281,,['fresh'],[]
Phenacorhamdia tenebrosa,48392,Baggrinho,['fresh'],[]
Phenacorhamdia tenuis,47812,Casue de imé,['fresh'],[]
Phenacorhamdia unifasciata,53227,Bagrinho,['fresh'],[]
