ScientificName,SpecCode,CommonName,Environments,Subspecies
Myripristis adusta,6506,Babakal silah,['salt'],[]
Myripristis amaena,7773,Ame-matsukasa,['salt'],[]
Myripristis astakhovi,51692,,['salt'],[]
Myripristis aulacodes,26196,Furrowed soldierfish,['salt'],[]
Myripristis berndti,4910,Akamatsukasa,['salt'],[]
Myripristis botche,26201,Baga,['salt'],[]
Myripristis chryseres,12596,Cardinal queue jaune,['salt'],[]
Myripristis clarionensis,13749,Candil amarillo,['salt'],[]
Myripristis earlei,61370,Earle's soldierfish,['salt'],[]
Myripristis formosa,26210,台湾松球,['salt'],[]
Myripristis gildi,13751,Candil cardenal,['salt'],[]
Myripristis greenfieldi,26212,格氏鋸鱗魚,['salt'],[]
Myripristis hexagona,7305,Baga-baga,['salt'],[]
Myripristis jacobus,1063,Baga-baga,['salt'],[]
Myripristis kochiensis,26218,高知鋸鱗魚,['salt'],[]
Myripristis kuntee,7306,Baga-baga,['salt'],[]
Myripristis leiognathus,13752,Candil panameño,['salt'],[]
Myripristis murdjan,5408,Babakal batu,['salt'],[]
Myripristis pralinia,7308,Babakal mira,['salt'],[]
Myripristis randalli,12753,Malau,['salt'],[]
Myripristis robusta,26246,Baga-baga,['salt'],[]
Myripristis seychellensis,7823,Baga-baga,['salt'],[]
Myripristis tiki,17189,Mārau,['salt'],[]
Myripristis trachyacron,7659,Baga-baga,['salt'],[]
Myripristis violacea,7309,Australian squirrel-fish,['salt'],[]
Myripristis vittata,6505,Babakal mira,['salt'],[]
Myripristis woodsi,17190,Hvidplettet soldaterfisk,['salt'],[]
Myripristis xanthacra,7822,Yellowtip soldierfish,['salt'],[]
