ScientificName,SpecCode,CommonName,Environments,Subspecies
Sargocentron borodinoensis,69071,Borodino soldierfish,['salt'],[]
Sargocentron bullisi,3247,Candil,['salt'],[]
Sargocentron caudimaculatum,4907,Asdhaanu raiverimas,['salt'],[]
Sargocentron cornutum,5406,Baga,"['brackish', 'salt']",[]
Sargocentron coruscum,3248,Candil rayado,['salt'],[]
Sargocentron diadema,4699,'Ala'ihi,['salt'],[]
Sargocentron dorsomaculatum,17428,Bara-ebisu,['salt'],[]
Sargocentron ensifer,12991,'Ala'ihi,['salt'],[]
Sargocentron hastatum,9059,Candil africano,['salt'],[]
Sargocentron hormion,50111,,['salt'],[]
Sargocentron inaequalis,23249,Lattice squirrelfish,['salt'],[]
Sargocentron iota,50117,Dwarf squirrelfish,['salt'],[]
Sargocentron ittodai,6573,Baga-baga,['salt'],[]
Sargocentron lepros,27348,Spiny squirrelfish,['salt'],[]
Sargocentron macrosquamis,23251,Bigscale squirrelfish,['salt'],[]
Sargocentron marisrubri,5347,馬氏棘鱗魚,['salt'],[]
Sargocentron megalops,50118,,['salt'],[]
Sargocentron melanospilos,5345,Baga-baga,['salt'],[]
Sargocentron microstoma,5841,'Araoe 'ute'ute,['salt'],[]
Sargocentron poco,3250,Saddle squirrelfish,['salt'],[]
Sargocentron praslin,7714,Brownspot squirrelfish,['salt'],[]
Sargocentron punctatissimum,4906,'Ala'ihi,['salt'],[]
Sargocentron rubrum,6625,Akanthoperka,['salt'],[]
Sargocentron seychellense,23254,Écureuil des Seychelles,['salt'],[]
Sargocentron shimizui,50231,Shimizu's squirrelfish,['salt'],[]
Sargocentron spiniferum,6507,'Ala'ihi,['salt'],[]
Sargocentron spinosissimum,23350,Ittoudai,['salt'],[]
Sargocentron suborbitale,13775,Candil sol,['salt'],[]
Sargocentron tiere,4908,'Ala'ihi,['salt'],[]
Sargocentron tiereoides,7311,Baga-baga,['salt'],[]
Sargocentron violaceum,4909,Baga,['salt'],[]
Sargocentron wilhelmi,50340,Mārau hiva,['salt'],[]
Sargocentron xantherythrum,7868,'Ala'ihi,['salt'],[]
