ScientificName,SpecCode,CommonName,Environments,Subspecies
Hoplichthys acanthopleurus,10696,棘鯒,['salt'],[]
Hoplichthys citrinus,15156,Baji-baji,['salt'],[]
Hoplichthys fasciatus,23902,Shima-harigochi,['salt'],[]
Hoplichthys filamentosus,15158,Ito-harigochi,['salt'],[]
Hoplichthys gilberti,8261,Baji-baji,['salt'],[]
Hoplichthys haswelli,14346,Armoured flathead,['salt'],[]
Hoplichthys imamurai,67206,Imamura's ghost flathead,['salt'],[]
Hoplichthys langsdorfii,23901,Natsu-harigochi,['salt'],[]
Hoplichthys mcgroutheri,69334,McGrouther's ghost flathead,['salt'],[]
Hoplichthys ogilbyi,15160,Ghost flathead,['salt'],[]
Hoplichthys pectoralis,58772,,['salt'],[]
Hoplichthys platophrys,58773,平头棘鲬,['salt'],[]
Hoplichthys prosemion,63186,,['salt'],[]
Hoplichthys regani,10578,Ghost flathead,['salt'],[]
