ScientificName,SpecCode,CommonName,Environments,Subspecies
Bryconops affinis,12343,Antko,['fresh'],[]
Bryconops alburnoides,51841,瑙脂鯉,['fresh'],[]
Bryconops caudomaculatus,12344,Antka,['fresh'],[]
Bryconops colanegra,58203,,['fresh'],[]
Bryconops colaroja,58202,,['fresh'],[]
Bryconops collettei,62592,,['fresh'],[]
Bryconops cyrtogaster,27957,Antko,['fresh'],[]
Bryconops disruptus,61042,,['fresh'],[]
Bryconops durbinae,61972,,['fresh'],[]
Bryconops giacopinii,53045,,['fresh'],[]
Bryconops gracilis,53043,,['fresh'],[]
Bryconops humeralis,58028,,['fresh'],[]
Bryconops imitator,60379,,['fresh'],[]
Bryconops inpai,51843,Inpatetra,['fresh'],[]
Bryconops magoi,62591,,['fresh'],[]
Bryconops melanurus,27958,Antko,['fresh'],[]
Bryconops munduruku,68161,,['fresh'],[]
Bryconops piracolina,66284,,['fresh'],[]
Bryconops tocantinensis,68641,,['fresh'],[]
Bryconops transitoria,58029,,['fresh'],[]
Bryconops vibex,58027,,['fresh'],[]
