ScientificName,SpecCode,CommonName,Environments,Subspecies
Kuhlia caudavittata,9905,Doule à queue rayée,"['fresh', 'brackish', 'salt']",[]
Kuhlia malo,60749,Nato,['fresh'],[]
Kuhlia marginata,5789,Aholehole,"['fresh', 'brackish']",[]
Kuhlia mugil,5790,Aholehole rabo rayado,"['brackish', 'salt']",[]
Kuhlia munda,14917,Flagtail,"['fresh', 'brackish', 'salt']",[]
Kuhlia nutabunda,55302,Māhore,['salt'],[]
Kuhlia petiti,60750,,['salt'],[]
Kuhlia rupestris,7715,Aholehole,"['fresh', 'brackish', 'salt']",[]
Kuhlia salelea,60751,Salele,['fresh'],[]
Kuhlia sandvicensis,5157,Ahole,"['fresh', 'brackish', 'salt']",[]
Kuhlia sauvagii,66265,,"['fresh', 'brackish']",[]
Kuhlia xenura,60748,Āholehole,"['fresh', 'brackish', 'salt']",[]
