ScientificName,SpecCode,CommonName,Environments,Subspecies
Anampses caeruleopunctatus,4888,Alle,['salt'],[]
Anampses chrysocephalus,4919,Hvidplettet gylte,['salt'],[]
Anampses cuvier,4916,Cuvier's tamarin,['salt'],[]
Anampses elegans,4918,Elegant wrasse,['salt'],[]
Anampses femininus,4892,Blue-striped orange tamarin,['salt'],[]
Anampses geographicus,4891,Balaki,['salt'],[]
Anampses lennardi,4917,Blue and yellow wrasse,['salt'],[]
Anampses lineatus,7800,Deep-sea wrasse,['salt'],[]
Anampses melanurus,5622,Bayan,['salt'],[]
Anampses meleagrides,4889,Bagondon,['salt'],[]
Anampses neoguinaicus,4890,Blackback wrasse,['salt'],[]
Anampses twistii,4893,Donzella,['salt'],[]
