ScientificName,SpecCode,CommonName,Environments,Subspecies
Iniistius aneitensis,5611,Apatse,['salt'],[]
Iniistius auropunctatus,59859,,['salt'],[]
Iniistius bakunawa,70270,Eclipse-spot razor wrasse,['salt'],[]
Iniistius baldwini,57870,Baldwin's razorfish,['salt'],[]
Iniistius bimaculatus,14342,Cuchilla de lunar,['salt'],[]
Iniistius brevipinnis,66975,,['salt'],[]
Iniistius celebicus,5612,Bronzespot razorfish,['salt'],[]
Iniistius cyanifrons,57871,青色连鳍唇鱼,['salt'],[]
Iniistius dea,10501,Apuron,['salt'],[]
Iniistius evides,66411,Apatse,['salt'],[]
Iniistius geisha,58754,黑背连鳍唇鱼,['salt'],[]
Iniistius griffithsi,63440,Griffiths' razorfish,['salt'],[]
Iniistius jacksonensis,11673,Australian keel-head wrasse,['salt'],[]
Iniistius melanopus,23517,Far al-Bahar,['salt'],[]
Iniistius naevus,66868,Blemished razorfish,['salt'],[]
Iniistius opalus,69867,Opaline razorfish,['salt'],[]
Iniistius pavo,5613,Balaki,['salt'],[]
Iniistius pentadactylus,7747,Bapor-bapor,['salt'],[]
Iniistius spilonotus,66414,Fin-spot razor wrasse,['salt'],[]
Iniistius trivittatus,56574,Blue-razor wrasse,['salt'],[]
Iniistius twistii,23536,Apatse,['salt'],[]
Iniistius umbrilatus,7766,Blackside razorfish,['salt'],[]
Iniistius verrens,23538,Bara-hirabera,['salt'],[]
