ScientificName,SpecCode,CommonName,Environments,Subspecies
Pseudolabrus biserialis,46934,Redband wrasse,['salt'],[]
Pseudolabrus eoethinus,59646,Aka-sasanoha-bera,['salt'],[]
Pseudolabrus fuentesi,46949,Fuentesi's wrasse,['salt'],[]
Pseudolabrus gayi,46923,Vieja de Juan Fernández,['salt'],[]
Pseudolabrus guentheri,13155,Chocolate parrotfish,['salt'],[]
Pseudolabrus japonicus,12795,Sasanohabera,['salt'],[]
Pseudolabrus luculentus,12796,Luculent wrasse,['salt'],[]
Pseudolabrus miles,46965,Puuwaiwhakarua,['salt'],[]
Pseudolabrus rubicundus,14424,Rosy parrotfish,['salt'],[]
Pseudolabrus semifasciatus,46956,Halfbarred wrasse,['salt'],[]
Pseudolabrus sieboldi,57440,황놀래기,['salt'],[]
Pseudolabrus torotai,46959,托氏拟隆头鱼,['salt'],[]
