ScientificName,SpecCode,CommonName,Environments,Subspecies
Pteragogus aurigarius,59629,Ohaguro-bera,['salt'],[]
Pteragogus clarkae,66976,,['salt'],[]
Pteragogus cryptus,5620,Cryptic wrasse,['salt'],[]
Pteragogus enneacanthus,52464,Cockatiel-fish,['salt'],[]
Pteragogus flagellifer,8022,Cocktail fish,['salt'],[]
Pteragogus guttatus,5621,Bayan,['salt'],[]
Pteragogus pelycus,8023,Bakkebaard-lipvis,['salt'],[]
Pteragogus taeniops,8024,Cheekbar wrasse,['salt'],[]
Pteragogus trispilus,66979,,['salt'],[]
Pteragogus variabilis,66977,,['salt'],[]
