ScientificName,SpecCode,CommonName,Environments,Subspecies
Paraclinus altivelis,8322,Blenia,['salt'],[]
Paraclinus arcanus,59744,,['salt'],[]
Paraclinus barbatus,16463,Goatee blenny,['salt'],[]
Paraclinus beebei,54356,Pink blenny,['salt'],[]
Paraclinus cingulatus,3743,Coral blenny,['salt'],[]
Paraclinus ditrichus,54357,Leastfoot blenny,['salt'],[]
Paraclinus fasciatus,3744,Banded blenny,['salt'],[]
Paraclinus fehlmanni,60825,,['salt'],[]
Paraclinus grandicomis,3745,Horned blenny,['salt'],[]
Paraclinus infrons,3746,Bald blenny,['salt'],[]
Paraclinus integripinnis,3747,Blenia de arrecife,['salt'],[]
Paraclinus magdalenae,54358,Magdalena blenny,['salt'],[]
Paraclinus marmoratus,3748,Marbled blenny,['salt'],[]
Paraclinus mexicanus,8324,Blenia mexicana,['salt'],[]
Paraclinus monophthalmus,46686,One-eyed blenny,['salt'],[]
Paraclinus naeorhegmis,16462,Surf blenny,['salt'],[]
Paraclinus nigripinnis,3749,Blackfin blenny,['salt'],[]
Paraclinus rubicundus,59743,,['salt'],[]
Paraclinus sini,46689,Blenia,['salt'],[]
Paraclinus spectator,59745,,['salt'],[]
Paraclinus stephensi,54359,Professor blenny,['salt'],[]
Paraclinus tanygnathus,46691,Blenia,['salt'],[]
Paraclinus walkeri,60824,San Quintin blenny,['salt'],[]
