ScientificName,SpecCode,CommonName,Environments,Subspecies
Lates angustifrons,4497,Capitaine,['fresh'],[]
Lates calcarifer,346,Akame,"['fresh', 'brackish', 'salt']",[]
Lates japonicus,6406,Akame,"['fresh', 'brackish', 'salt']",[]
Lates lakdiva,66563,Koduwa,"['fresh', 'brackish']",[]
Lates longispinis,9896,Iji,['fresh'],[]
Lates macrophthalmus,9897,Albert lates,['fresh'],[]
Lates mariae,9898,Bigeye lates,['fresh'],[]
Lates microlepis,4801,Forktail lates,['fresh'],[]
Lates niloticus,347,Aja,['fresh'],[]
Lates stappersii,4498,Bukabuka,['fresh'],[]
Lates uwisara,66564,Myanmar sea bass,"['fresh', 'brackish']",[]
