ScientificName,SpecCode,CommonName,Environments,Subspecies
Branchiostegus albus,13011,Bái fāng tóu yú,['salt'],[]
Branchiostegus argentatus,4594,Cá đầu vuông bạc,['salt'],[]
Branchiostegus auratus,4595,Bān qí fāng tóu yú,['salt'],[]
Branchiostegus australiensis,12944,Australian tilefish,['salt'],[]
Branchiostegus doliatus,7646,Geribde teëlvis,['salt'],[]
Branchiostegus gloerfelti,12945,格氏方头鱼,['salt'],[]
Branchiostegus hedlandensis,15367,Port Hedland tilefish,['salt'],[]
Branchiostegus ilocanus,15370,大方头鱼,['salt'],[]
Branchiostegus japonicus,4593,Aka-amadai,['salt'],[]
Branchiostegus paxtoni,15369,Paxton's tilefish,['salt'],[]
Branchiostegus saitoi,66509,,['salt'],[]
Branchiostegus sawakinensis,7649,Barko barko,['salt'],[]
Branchiostegus semifasciatus,4935,Africanski latiluss,['salt'],[]
Branchiostegus serratus,14962,Australian barred tilefish,['salt'],[]
Branchiostegus vittatus,15375,条纹方头鱼,['salt'],[]
Branchiostegus wardi,14964,Minami Amadai,['salt'],[]
