ScientificName,SpecCode,CommonName,Environments,Subspecies
Lebiasina ardilai,66978,,['fresh'],[]
Lebiasina bimaculata,11913,Blauer-Zwergraubsalmler,['fresh'],[]
Lebiasina chocoensis,66608,,['fresh'],[]
Lebiasina chucuriensis,61561,,['fresh'],[]
Lebiasina colombia,65349,Coruba,['fresh'],[]
Lebiasina floridablancaensis,53707,馬倫比亞鮰脂鯉,['fresh'],[]
Lebiasina intermedia,50860,Sukkulatetra,['fresh'],[]
Lebiasina marilynae,66639,,['fresh'],[]
Lebiasina melanoguttata,66640,,['fresh'],[]
Lebiasina minuta,66641,,['fresh'],[]
Lebiasina multimaculata,50852,Candela,['fresh'],[]
Lebiasina narinensis,61562,,['fresh'],[]
Lebiasina ortegai,65350,Guabina,['fresh'],[]
Lebiasina provenzanoi,61563,,['fresh'],[]
Lebiasina taphorni,65970,,['fresh'],[]
Lebiasina uruyensis,56600,Carpa criolla,['fresh'],[]
Lebiasina yepezi,66381,,['fresh'],[]
Lebiasina yuruaniensis,61564,,['fresh'],[]
