ScientificName,SpecCode,CommonName,Environments,Subspecies
Lethrinus amboinensis,1853,Ambon emperor,['salt'],[]
Lethrinus atkinsoni,1854,Atkinson's emperor,['salt'],[]
Lethrinus atlanticus,1867,Agbeni,['salt'],[]
Lethrinus borbonicus,1844,Changu,['salt'],[]
Lethrinus conchyliatus,1868,Changu,['salt'],[]
Lethrinus crocineus,1841,Capitaine à queue jaune,['salt'],[]
Lethrinus enigmaticus,1855,Blackeye emperor,['salt'],[]
Lethrinus erythracanthus,1862,Ahiat,['salt'],[]
Lethrinus erythropterus,1842,Asuh-asuh,['salt'],[]
Lethrinus genivittatus,1865,Asuh-asuh,"['brackish', 'salt']",[]
Lethrinus haematopterus,1856,Bitilya,['salt'],[]
Lethrinus harak,1851,Alibek,"['brackish', 'salt']",[]
Lethrinus laticaudis,1857,Asuh-asuh,"['brackish', 'salt']",[]
Lethrinus lentjan,1863,Anuping,"['brackish', 'salt']",[]
Lethrinus mahsena,1843,Angelike,['salt'],[]
Lethrinus microdon,1845,Anuping,['salt'],[]
Lethrinus miniatus,1858,Aaravi,"['brackish', 'salt']",[]
Lethrinus mitchelli,69564,Mitchell's Emperor,['salt'],[]
Lethrinus nebulosus,1846,Ambitsy,"['brackish', 'salt']",[]
Lethrinus obsoletus,1847,Asuh-asuh,['salt'],[]
Lethrinus olivaceus,1864,Adia,['salt'],[]
Lethrinus ornatus,1866,Andopeng (Bajau),['salt'],[]
Lethrinus ravus,61537,Drab emperor,['salt'],[]
Lethrinus reticulatus,1859,Bagangan,['salt'],[]
Lethrinus rubrioperculatus,1848,Baksou,['salt'],[]
Lethrinus semicinctus,1849,Ami-fuefuki,['salt'],[]
Lethrinus variegatus,1850,Anuping,['salt'],[]
Lethrinus xanthochilus,1852,Baduma kinur,['salt'],[]
