ScientificName,SpecCode,CommonName,Environments,Subspecies
Acanthobrama centisquama,52601,Cejnovec syrský,"['fresh', 'brackish']",[]
Acanthobrama hadiyahensis,61854,Arabian Bream,['fresh'],[]
Acanthobrama lissneri,4515,Cejn Lissnerův,['fresh'],[]
Acanthobrama marmid,52603,Akçapak balığı,"['fresh', 'brackish']",[]
Acanthobrama microlepis,48174,Blackbrow bleak,['fresh'],[]
Acanthobrama orontis,67574,,['fresh'],[]
Acanthobrama persidis,55292,Aroos mahi persis,['fresh'],[]
Acanthobrama telavivensis,26480,Cejn telavivský,['fresh'],[]
Acanthobrama thisbeae,67573,,['fresh'],[]
Acanthobrama tricolor,55147,Cejn tříbarvý,['fresh'],[]
Acanthobrama urmianus,55146,Aros mahi Oromiye,['fresh'],[]
