ScientificName,SpecCode,CommonName,Environments,Subspecies
Alburnoides bipunctatus,4875,Ablette de courant,"['fresh', 'brackish']",[]
Alburnoides coadi,67866,Coad's riffle minnow,['fresh'],[]
Alburnoides devolli,65852,Devoll riffle minnow,['fresh'],[]
Alburnoides economoui,68486,Spercheios sprilin,['fresh'],[]
Alburnoides eichwaldii,65180,Eichwaldi tippviidikas,['fresh'],[]
Alburnoides emineae,67278,Beyazsu chub,['fresh'],[]
Alburnoides fangfangae,65851,Fangfangi tippviidikas,['fresh'],[]
Alburnoides fasciatus,65181,Transcaucasian spirlin,['fresh'],[]
Alburnoides freyhofi,68533,,['fresh'],[]
Alburnoides gmelini,65149,Gmelini tippviidikas,['fresh'],[]
Alburnoides holciki,66834,Hari tippviidikas,['fresh'],[]
Alburnoides idignensis,65154,Tigrise tippviidikas,['fresh'],[]
Alburnoides kosswigi,68534,,['fresh'],[]
Alburnoides kubanicus,65137,Kubani tippviidkas,['fresh'],[]
Alburnoides kurui,68532,,['fresh'],[]
Alburnoides maculatus,67457,,['fresh'],[]
Alburnoides manyasensis,66835,Manyas spirlin,['fresh'],[]
Alburnoides namaki,65152,Namaki tippviidikas,['fresh'],[]
Alburnoides nicolausi,65153,Simarehi tippviidikas,['fresh'],[]
Alburnoides oblongus,23037,Aaltosalakka,['fresh'],[]
Alburnoides ohridanus,65087,Ohridi tippviidikas,['fresh'],[]
Alburnoides parhami,67867,Mahi-e-Khayate-ye-Parham,['fresh'],[]
Alburnoides petrubanarescui,65151,Urmia tippviidikas,['fresh'],[]
Alburnoides prespensis,65088,Prespa tippviidikas,['fresh'],[]
Alburnoides qanati,64985,Kanali-tippviidikas,['fresh'],[]
Alburnoides recepi,67280,Merzimeni tippviidikas,['fresh'],[]
Alburnoides rossicus,67458,,['fresh'],[]
Alburnoides samiii,67868,Mahi-e-Khayate-ye-Samii,['fresh'],[]
Alburnoides strymonicus,68491,,['fresh'],[]
Alburnoides tabarestanensis,67865,Mahi-e-Khayate-ye-Tabarestan,['fresh'],[]
Alburnoides taeniatus,22954,Gestreifter Schneider,['fresh'],[]
Alburnoides thessalicus,68490,Thessalian spirlin,['fresh'],[]
Alburnoides turani,69782,,['fresh'],[]
Alburnoides varentsovi,65150,Kopetdagi tippviidikas,['fresh'],[]
Alburnoides velioglui,67279,Eufrati tippviidikas,['fresh'],[]
