ScientificName,SpecCode,CommonName,Environments,Subspecies
Chondrostoma angorense,51789,Anatoolia kõhrsuu,['fresh'],[]
Chondrostoma beysehirense,50336,Beysehir nase,['fresh'],[]
Chondrostoma ceyhanense,68498,,['fresh'],[]
Chondrostoma colchicum,47774,Colchian undermouth,['fresh'],[]
Chondrostoma cyri,48363,Kura kõhrsuu,['fresh'],[]
Chondrostoma esmaeilii,68493,,['fresh'],[]
Chondrostoma fahirae,52661,Incilevrek baligi,['fresh'],[]
Chondrostoma holmwoodii,25869,Izmir nase,['fresh'],[]
Chondrostoma kinzelbachi,51794,Orontes nase,['fresh'],[]
Chondrostoma knerii,26615,Dalmaatsia kõhrsuu,['fresh'],[]
Chondrostoma kubanicum,48351,Kubani kõhrsuu,['fresh'],[]
Chondrostoma meandrense,51795,Menderes nase,['fresh'],[]
Chondrostoma nasus,4878,Alonge,['fresh'],[]
Chondrostoma orientale,51796,Iraani kõhrsuu,['fresh'],[]
Chondrostoma oxyrhynchum,47782,Alazani kõhrsuu,['fresh'],[]
Chondrostoma phoxinus,25870,Elritsenæsling,['fresh'],[]
Chondrostoma prespense,25871,Njila e Prespës,['fresh'],[]
Chondrostoma regium,51797,Baloot muluki,['fresh'],[]
Chondrostoma scodrense,46391,Ostroretka albánská,['fresh'],[]
Chondrostoma soetta,26616,Itaalia kõhrsuu,['fresh'],[]
Chondrostoma toros,68497,,['fresh'],[]
Chondrostoma vardarense,46393,Gourounomytis,['fresh'],[]
Chondrostoma variabile,47785,Ostroretka volžská,"['fresh', 'brackish']",[]
