ScientificName,SpecCode,CommonName,Environments,Subspecies
Cyprinella alvarezdelvillari,25881,Carpita tepehuana,['fresh'],[]
Cyprinella analostana,2819,Jelčík analostanský,['fresh'],[]
Cyprinella bocagrande,6103,Carpita bocagrande,['fresh'],[]
Cyprinella caerulea,6104,Blue Shiner,['fresh'],[]
Cyprinella callisema,2837,Jelčík potoční,['fresh'],[]
Cyprinella callistia,2838,Alabama pisikarbik,['fresh'],[]
Cyprinella callitaenia,6105,Bluestripe Shiner,['fresh'],[]
Cyprinella camura,2840,Bluntface shiner,['fresh'],[]
Cyprinella chloristia,2846,Greenfin shiner,['fresh'],[]
Cyprinella eurystoma,65170,Laisuu-pisikarbik,['fresh'],[]
Cyprinella formosa,6106,Beautiful shiner,['fresh'],[]
Cyprinella galactura,2859,Jelčík běloocasý,['fresh'],[]
Cyprinella garmani,56226,Carpita jorobada,['fresh'],[]
Cyprinella gibbsi,2860,Jelčík Gibbsův,['fresh'],[]
Cyprinella labrosa,2787,Jelčík tlustopyský,['fresh'],[]
Cyprinella leedsi,2871,Bannerfin shiner,['fresh'],[]
Cyprinella lepida,10215,Edwards Plateau shiner,['fresh'],[]
Cyprinella lutrensis,2876,Amerikanische Rotflossenorfe,['fresh'],[]
Cyprinella monacha,6107,Jelčík příčnopruhý,['fresh'],[]
Cyprinella nivea,2879,Jelčík běloploutvý,['fresh'],[]
Cyprinella panarcys,6108,Carpita del Conchos,['fresh'],[]
Cyprinella proserpina,6109,Carpita río del norte,['fresh'],[]
Cyprinella pyrrhomelas,2891,Fieryblack shiner,['fresh'],[]
Cyprinella rutila,56225,Carpita regiomontana,['fresh'],[]
Cyprinella spiloptera,2903,Jelčík skvrnoploutvý,['fresh'],[]
Cyprinella stigmatura,61947,Tähnsaba-pisikarbik,['fresh'],[]
Cyprinella trichroistia,2909,Jelčík tříbarvý,['fresh'],[]
Cyprinella venusta,2912,Blacktail shiner,['fresh'],[]
Cyprinella whipplei,2915,Steelcolor shiner,['fresh'],[]
Cyprinella xaenura,2917,Altamaha pisikarbik,['fresh'],[]
Cyprinella xanthicara,6111,Carpita de Cuatro Ciénegas,['fresh'],[]
Cyprinella zanema,2794,Jelčík karolínský,['fresh'],[]
