ScientificName,SpecCode,CommonName,Environments,Subspecies
Leuciscus aspius,4783,Aral asp,"['fresh', 'brackish']",[]
Leuciscus baicalensis,56010,Chebak,['fresh'],[]
Leuciscus bearnensis,65123,Adouri teib,['fresh'],[]
Leuciscus bergi,54735,Bergi teib,['fresh'],[]
Leuciscus burdigalensis,53236,Beaked dace,['fresh'],[]
Leuciscus chuanchicus,56012,Huanghe teib,['fresh'],[]
Leuciscus danilewskii,25958,Danilevski teib,['fresh'],[]
Leuciscus dzungaricus,61899,Mongoolia teib,['fresh'],[]
Leuciscus gaderanus,63040,Iraani teib,['fresh'],[]
Leuciscus idus,2801,Aland,"['fresh', 'brackish']",[]
Leuciscus latus,55345,Jelec heratský,['fresh'],[]
Leuciscus lehmanni,22837,Jelec Lehmannův,['fresh'],[]
Leuciscus leuciscus,4662,Acourcie,"['fresh', 'brackish']",[]
Leuciscus lindbergi,61901,Talassi teib,['fresh'],[]
Leuciscus merzbacheri,55407,Jelec Merzbacherův,['fresh'],[]
Leuciscus oxyrrhis,65124,Long-snout dace,['fresh'],[]
Leuciscus schmidti,55651,Issõk-kuli teib,['fresh'],[]
Leuciscus vorax,54833,Bolen západoasijský,['fresh'],[]
Leuciscus waleckii,46549,Amur ide,['fresh'],[]
