ScientificName,SpecCode,CommonName,Environments,Subspecies
Lythrurus alegnotus,61911,Sõdur-rahkteibik,['fresh'],[]
Lythrurus ardens,2821,Leekuim-rahkteibik,['fresh'],[]
Lythrurus atrapiculus,2825,Blacktip shiner,['fresh'],[]
Lythrurus bellus,2829,Kaunis rahkteibik,['fresh'],[]
Lythrurus fasciolaris,62431,Sarlak-rahkteibik,['fresh'],[]
Lythrurus fumeus,2858,Nõgitriip-rahkteibik,['fresh'],[]
Lythrurus lirus,2873,Mägi-rahkteibik,['fresh'],[]
Lythrurus matutinus,56259,Pinewoods shiner,['fresh'],[]
Lythrurus roseipinnis,2892,Cherryfin shiner,['fresh'],[]
Lythrurus snelsoni,6134,Ouachita Mountain Shiner,['fresh'],[]
Lythrurus umbratilis,2910,Redfin shiner,['fresh'],[]
