ScientificName,SpecCode,CommonName,Environments,Subspecies
Notropis aguirrepequenoi,6125,Carpita del Pilón,['fresh'],[]
Notropis albizonatus,54242,Jeleček bělopruhý,['fresh'],[]
Notropis alborus,2814,Jeleček běloústý,['fresh'],[]
Notropis altipinnis,2815,Highfin shiner,['fresh'],[]
Notropis amabilis,2816,Carpita texana,['fresh'],[]
Notropis amecae,6126,Ameca hõbeteib,['fresh'],[]
Notropis ammophilus,10223,Jeleček oranžovoploutvý,['fresh'],[]
Notropis amoenus,2818,Comely shiner,['fresh'],[]
Notropis anogenus,2820,Jeleček tuponosý,['fresh'],[]
Notropis ariommus,2822,Jeleček alabamský,['fresh'],[]
Notropis asperifrons,2823,Burrhead shiner,['fresh'],[]
Notropis atherinoides,2824,Common emerald shiner,['fresh'],[]
Notropis atrocaudalis,2826,Blackspot shiner,['fresh'],[]
Notropis aulidion,6127,Carpita de Durango,['fresh'],[]
Notropis baileyi,2827,Bailey hõbeteib,['fresh'],[]
Notropis bairdi,2828,Bairdi hõbeteib,['fresh'],[]
Notropis bifrenatus,2830,Bridle shiner,['fresh'],[]
Notropis blennius,2831,Jeleček říční,['fresh'],[]
Notropis boops,2832,Bigeye shiner,['fresh'],[]
Notropis boucardi,55752,Balsas shiner,['fresh'],[]
Notropis braytoni,2833,Braytoni hõbeteib,['fresh'],[]
Notropis buccata,2752,Jeleček stříbrotlamý,['fresh'],[]
Notropis buccula,2834,Jeleček malooký,['fresh'],[]
Notropis buchanani,2835,Buchanani hõbeteib,['fresh'],[]
Notropis cahabae,6128,Cahaba hõbeteib,['fresh'],[]
Notropis calabazas,62165,Calabazas shiner,['fresh'],[]
Notropis calientis,50228,Carpita amarilla,['fresh'],[]
Notropis candidus,2841,Helkiv hõbeteib,['fresh'],[]
Notropis chalybaeus,2843,Ironcolor shiner,['fresh'],[]
Notropis chihuahua,2844,Carpita chihuahuense,['fresh'],[]
Notropis chiliticus,2845,Jeleček rudopyský,['fresh'],[]
Notropis chlorocephalus,2847,Greenhead shiner,['fresh'],[]
Notropis chrosomus,2848,Blå regnbueelritse,['fresh'],[]
Notropis cumingii,62432,Atoyac chub,['fresh'],[]
Notropis cummingsae,2852,Dusky shiner,['fresh'],[]
Notropis dorsalis,2853,Bigmouth shiner,['fresh'],[]
Notropis edwardraneyi,2854,Fluvial shiner,['fresh'],[]
Notropis girardi,2861,Arkansas River shiner,['fresh'],[]
Notropis grandis,65658,Carpita de Zacapu,['fresh'],[]
Notropis greenei,2862,Jeleček Greenův,['fresh'],[]
Notropis harperi,2863,Harperi hõbeteib,['fresh'],[]
Notropis heterodon,2864,Blackchin shiner,['fresh'],[]
Notropis heterolepis,2865,Blacknose shiner,['fresh'],[]
Notropis hudsonius,2867,Jeleček ocasoskvrnný,"['fresh', 'brackish']",[]
Notropis hypsilepis,2869,Apalachicola hõbeteib,['fresh'],[]
Notropis imeldae,6129,Imelda hõbeteib,['fresh'],[]
Notropis jemezanus,2870,Carpita del Bravo,['fresh'],[]
Notropis leuciodus,2872,Jeleček holstonský,['fresh'],[]
Notropis longirostris,2874,Jeleček dlouhonosý,['fresh'],[]
Notropis lutipinnis,2875,Jeleček žlutoploutvý,['fresh'],[]
Notropis maculatus,2877,Jeleček skvrnitý,['fresh'],[]
Notropis marhabatiensis,65657,Carpita de Maravatío,['fresh'],[]
Notropis mekistocholas,2878,Cape Fear Shiner,['fresh'],[]
Notropis melanostomus,6130,Blackmouth Shiner,['fresh'],[]
Notropis micropteryx,62366,Highland shiner,['fresh'],[]
Notropis moralesi,6131,Carpita del tepelmeme,['fresh'],[]
Notropis nazas,55757,Carpita de Nazas,['fresh'],[]
Notropis nubilus,2880,Jeleček soumračný,['fresh'],[]
Notropis orca,6132,Carpita de El Paso,['fresh'],[]
Notropis ortenburgeri,2881,Jeleček Ortenburgerův,['fresh'],[]
Notropis oxyrhynchus,2882,Jeleček ostronosý,['fresh'],[]
Notropis ozarcanus,2883,Jeleček ozarcký,['fresh'],[]
Notropis percobromus,62367,Carmine shiner,['fresh'],[]
Notropis perpallidus,2884,Colorless Shiner,['fresh'],[]
Notropis petersoni,2885,Coastal shiner,['fresh'],[]
Notropis photogenis,2886,Helkpõsk-hõbeteib,['fresh'],[]
Notropis potteri,2888,Chub shiner,['fresh'],[]
Notropis procne,2889,Jeleček texaský,['fresh'],[]
Notropis rafinesquei,60222,Jeleček Rafinesqueův,['fresh'],[]
Notropis rubellus,2893,Jeleček červenavý,['fresh'],[]
Notropis rubricroceus,2894,Jeleček šafránový,['fresh'],[]
Notropis rupestris,10263,Bedrock shiner,['fresh'],[]
Notropis sabinae,2895,Jeleček sabinský,['fresh'],[]
Notropis saladonis,6133,Carpita del Salado,['fresh'],[]
Notropis scabriceps,2896,Jeleček sinkingský,['fresh'],[]
Notropis scepticus,2897,Jeleček saludanský,['fresh'],[]
Notropis semperasper,2898,Igikare hõbeteib,['fresh'],[]
Notropis shumardi,2899,Jeleček stříbropásý,['fresh'],[]
Notropis simus,2901,Bluntnose shiner,['fresh'],[]
Notropis spectrunculus,2902,Jeleček zrcadlový,['fresh'],[]
Notropis stilbius,2904,Hiilgav hõbeteib,['fresh'],[]
Notropis stramineus,2905,Carpita arenera,['fresh'],[]
Notropis suttkusi,58225,Jeleček Suttkusův,['fresh'],[]
Notropis telescopus,2906,Jeleček virginský,['fresh'],[]
Notropis texanus,2907,Jeleček michiganský,['fresh'],[]
Notropis topeka,2908,Jeleček dakotský,['fresh'],[]
Notropis tropicus,61910,Carpita tropical,['fresh'],[]
Notropis uranoscopus,2911,Jeleček cahabský,['fresh'],[]
Notropis volucellus,2913,Jeleček prosvítavý,['fresh'],[]
Notropis wickliffi,62430,Channel shiner,['fresh'],[]
Notropis xaenocephalus,2916,Coosa shiner,['fresh'],[]
