ScientificName,SpecCode,CommonName,Environments,Subspecies
Careproctus abbreviatus,51398,侏短吻狮子鱼,['salt'],[]
Careproctus acaecus,56135,Appendageless snailfish,['salt'],[]
Careproctus acanthodes,24130,Toge-bikunin,['salt'],[]
Careproctus aciculipunctatus,51864,,['salt'],[]
Careproctus acifer,56165,,['salt'],[]
Careproctus aculeolatus,56187,Small-spine snailfish,['salt'],[]
Careproctus albescens,23305,灰白短吻狮子鱼,['salt'],[]
Careproctus ambustus,69344,Scorched snailfish,['salt'],[]
Careproctus ampliceps,58806,,['salt'],[]
Careproctus armatus,56189,盾头短吻狮子鱼,['salt'],[]
Careproctus atakamensis,56166,,['salt'],[]
Careproctus atrans,56118,Black snailfish,['salt'],[]
Careproctus attenuatus,51400,弱身短吻狮子鱼,['salt'],[]
Careproctus aureomarginatus,56116,Marginate snailfish,['salt'],[]
Careproctus bathycoetus,24124,Soko-bikunin,['salt'],[]
Careproctus batialis,50405,爬行短吻狮子鱼,['salt'],[]
Careproctus bowersianus,51485,,['salt'],[]
Careproctus brevipectoralis,69310,Short-finned snailfish,['salt'],[]
Careproctus cactiformis,56119,深水短吻狮子鱼,['salt'],[]
Careproctus canus,51477,,['salt'],[]
Careproctus carinatus,68926,Keel-belly tadpolefish,['salt'],[]
Careproctus catherinae,58815,,['salt'],[]
Careproctus colletti,24141,Alaska snailfish,['salt'],[]
Careproctus comus,64561,Comic snailfish,['salt'],[]
Careproctus continentalis,54875,陆架短吻狮子鱼,['salt'],[]
Careproctus credispinulosus,56117,肉刺短吻狮子鱼,['salt'],[]
Careproctus crozetensis,64562,,['salt'],[]
Careproctus curilanus,51489,克里亚群岛短吻狮子鱼,['salt'],[]
Careproctus cyclocephalus,24125,Daruma-konnyaku-uo,['salt'],[]
Careproctus cypseluroides,51401,似蜂巢短吻狮子鱼,['salt'],[]
Careproctus cypselurus,24127,Ai-bikunin,['salt'],[]
Careproctus derjugini,62665,Deryugin's tadpole,['salt'],[]
Careproctus discoveryae,64474,,['salt'],[]
Careproctus dubius,62281,Smal snottfisk,['salt'],[]
Careproctus ectenes,50723,Shovelhead snailfish,['salt'],[]
Careproctus eltaninae,56199,,['salt'],[]
Careproctus falklandicus,55214,福克兰群岛短吻狮子鱼,['salt'],[]
Careproctus faunus,64563,Mischievous snailfish,['salt'],[]
Careproctus fedorovi,56168,,['salt'],[]
Careproctus filamentosus,51460,,['salt'],[]
Careproctus furcellus,24126,Emarginate snailfish,['salt'],[]
Careproctus georgianus,56120,乔治王岛短吻狮子鱼,['salt'],[]
Careproctus gilberti,25161,Smalldisk snailfish,['salt'],[]
Careproctus globulus,69315,Globular snailfish,['salt'],[]
Careproctus guillemi,49827,,['salt'],[]
Careproctus homopterus,24120,Kuro-konnyaku-uo,['salt'],[]
Careproctus hyaleius,58566,透明短吻狮子鱼,['salt'],[]
Careproctus improvisus,56136,,['salt'],[]
Careproctus inflexidens,56186,,['salt'],[]
Careproctus kamikawai,67402,Arbiter Snailfish,['salt'],[]
Careproctus karaensis,68924,Kara tadpolefish,['salt'],[]
Careproctus kidoi,63866,Kido's snailfish,['salt'],[]
Careproctus knipowitschi,62666,Buttnesesnottfisk,['salt'],[]
Careproctus lacmi,56137,,['salt'],[]
