ScientificName,SpecCode,CommonName,Environments,Subspecies
Liparis adiastolus,61514,,['salt'],[]
Liparis agassizii,24112,Ezo-kusa-uo,['salt'],[]
Liparis alboventer,58832,白腹狮子鱼,['salt'],[]
Liparis antarcticus,54879,南极狮子鱼,['salt'],[]
Liparis atlanticus,4186,Amerikanskiy liparis,['salt'],[]
Liparis barbatus,54741,Sea-snail,['brackish'],[]
Liparis bathyarcticus,67552,Glubinniy liparis,['salt'],[]
Liparis bikunin,24110,Ama-kusa-uo,['salt'],[]
Liparis brashnikovi,58814,,['salt'],[]
Liparis bristolensis,51426,Bristol snailfish,['salt'],[]
Liparis burkei,24121,Nise-soko-shiro,['salt'],[]
Liparis callyodon,4187,Dennik plamisty,['salt'],[]
Liparis catharus,58807,Purity snailfish,['salt'],[]
Liparis chefuensis,51026,Norang-mulmegi,['salt'],[]
Liparis coheni,4188,Gulf snailfish,['salt'],[]
Liparis curilensis,51427,库里尔湾狮子鱼,['salt'],[]
Liparis cyclopus,4189,Günther's liparid,['salt'],[]
Liparis dennyi,4191,Denny's liparid,['salt'],[]
Liparis dubius,58833,杜比狮子鱼,['salt'],[]
Liparis dulkeiti,51428,杜氏狮子鱼,['salt'],[]
Liparis eos,58816,东方狮子鱼,['salt'],[]
Liparis fabricii,15490,Chernobryukhiy liparis,['salt'],[]
Liparis fishelsoni,58827,菲氏狮子鱼,['salt'],[]
Liparis florae,4192,Shore liparid,['salt'],[]
Liparis frenatus,24111,Kanten-bikunin,['salt'],[]
Liparis fucensis,4193,Juan de Fuca liparid,['salt'],[]
Liparis gibbus,4190,Amersulak,['salt'],[]
Liparis grebnitzkii,60844,,['salt'],[]
Liparis greeni,4204,Bering snailfish,['salt'],[]
Liparis inquilinus,4195,Inquiline snailfish,['salt'],[]
Liparis kusnetzovi,58818,,['salt'],[]
Liparis kussakini,58819,,['salt'],[]
Liparis latifrons,50404,侧斑狮子鱼,['salt'],[]
Liparis liparis,1378,Dennik,['salt'],[]
Liparis maculatus,62290,,['salt'],[]
Liparis marmoratus,51429,Festive snailfish,['salt'],[]
Liparis mednius,58834,,['salt'],[]
Liparis megacephalus,51431,Bighead snailfish,['salt'],[]
Liparis meridionalis,67551,,['salt'],[]
Liparis micraspidophorus,51432,Thumbtack snailfish,['salt'],[]
Liparis miostomus,24108,Kokuchi-kusa-uo,['salt'],[]
Liparis montagui,1379,Iâr fôr Montagu,['salt'],[]
Liparis mucosus,4197,Baboso mucoso,['salt'],[]
Liparis newmani,60838,黃海獅子魚(點紋獅子魚),['salt'],[]
Liparis ochotensis,24113,Agonashi-kusa-uo,['salt'],[]
Liparis owstoni,24116,Ôsuton-kusa-uo,['salt'],[]
Liparis petschiliensis,60840,河北狮子鱼,['salt'],[]
Liparis pravdini,58820,普氏狮子鱼,['salt'],[]
Liparis pulchellus,4198,Continuous-finned liparid,['salt'],[]
Liparis punctatus,51437,,['salt'],[]
Liparis punctulatus,24109,Aka-bikunin,['salt'],[]
Liparis rhodosoma,51600,玫瑰狮子鱼,['salt'],[]
Liparis rotundirostris,58821,,['salt'],[]
Liparis rutteri,4199,Ringtail snailfish,['salt'],[]
Liparis schantarensis,51440,Shantar snailfish,['salt'],[]
Liparis schmidti,58822,,['salt'],[]
Liparis tanakae,24115,Kkom-ch'i,['salt'],[]
Liparis tartaricus,51694,,['salt'],[]
Liparis tessellatus,24114,Bikunin,['salt'],[]
Liparis tunicatiformis,58823,,['salt'],[]
Liparis tunicatus,4200,Arkticheskiy liparis,"['brackish', 'salt']",[]
Liparis zonatus,62291,,['salt'],[]
