ScientificName,SpecCode,CommonName,Environments,Subspecies
Psednos andriashevi,59948,Andriashev's dwarf snailfish,['salt'],[]
Psednos anoderkes,59833,,['salt'],[]
Psednos argyrogaster,66729,,['salt'],[]
Psednos balushkini,59670,Palemouth snailfish,['salt'],[]
Psednos barnardi,59947,Blackchin dwarf snailfish,['salt'],[]
Psednos carolinae,62197,,['salt'],[]
Psednos cathetostomus,59798,,['salt'],[]
Psednos chathami,66730,,['salt'],[]
Psednos christinae,56214,European dwarf snailfish,['salt'],[]
Psednos cryptocaeca,66731,,['salt'],[]
Psednos delawarei,59832,,['salt'],[]
Psednos dentatus,59793,,['salt'],[]
Psednos gelatinosus,59949,Gelatinous dwarf snailfish,['salt'],[]
Psednos griseus,59831,,['salt'],[]
Psednos groenlandicus,59950,Greenland dwarf snailfish,['salt'],[]
Psednos harteli,59951,Hartel's dwarf snailfish,['salt'],[]
Psednos islandicus,59797,,['salt'],[]
Psednos longiventris,66732,,['salt'],[]
Psednos melanocephalus,59794,,['salt'],[]
Psednos mexicanus,59795,,['salt'],[]
Psednos microps,59952,Smalleye dwarf snailfish,['salt'],[]
Psednos microstomus,66734,,['salt'],[]
Psednos micruroides,59953,Multipore dwarf snailfish,['salt'],[]
Psednos micrurus,15146,Barnard's dwarf snailfish,['salt'],[]
Psednos mirabilis,59954,Marvelous dwarf snailfish,['salt'],[]
Psednos nataliae,59671,Darkgill snailfish,['salt'],[]
Psednos nemnezi,66736,,['salt'],[]
Psednos pallidus,59830,,['salt'],[]
Psednos platyoperculosus,66737,,['salt'],[]
Psednos rossi,65236,,['salt'],[]
Psednos sargassicus,59955,Sargasso dwarf snailfish,['salt'],[]
Psednos spirohira,59796,,['salt'],[]
Psednos steini,59964,Stein's dwarf snailfish,['salt'],[]
Psednos struthersi,66739,,['salt'],[]
Psednos whitleyi,59672,Bigcheek snailfish,['salt'],[]
