ScientificName,SpecCode,CommonName,Environments,Subspecies
Harttia absaberi,67229,,['fresh'],[]
Harttia carvalhoi,50508,Koskiharttia,['fresh'],[]
Harttia depressa,58308,,['fresh'],[]
Harttia dissidens,58309,,['fresh'],[]
Harttia duriventris,58310,,['fresh'],[]
Harttia fluminensis,66591,,['fresh'],[]
Harttia fowleri,50514,Acari,['fresh'],[]
Harttia garavelloi,50838,加拉哈氏甲鯰,['fresh'],[]
Harttia gracilis,48560,細身哈氏甲鯰,['fresh'],[]
Harttia guianensis,58311,,['fresh'],[]
Harttia kronei,50509,Bituva,['fresh'],[]
Harttia leiopleura,48562,Cari,['fresh'],[]
Harttia longipinna,58318,Cascudo,['fresh'],[]
Harttia loricariformis,50510,Marmoriharttia,['fresh'],[]
Harttia merevari,62692,,['fresh'],[]
Harttia novalimensis,48563,巴西哈氏甲鯰,['fresh'],[]
Harttia panara,69887,,['fresh'],[]
Harttia punctata,58312,,['fresh'],[]
Harttia rhombocephala,50511,Cascudo,['fresh'],[]
Harttia rondoni,69888,,['fresh'],[]
Harttia surinamensis,48314,Acari,['fresh'],[]
Harttia torrenticola,50837,Cascudo,['fresh'],[]
Harttia trombetensis,58313,,['fresh'],[]
Harttia tuna,66592,,['fresh'],[]
Harttia uatumensis,58314,,['fresh'],[]
Harttia villasboas,69885,,['fresh'],[]
