ScientificName,SpecCode,CommonName,Environments,Subspecies
Hemiancistrus cerrado,64679,,['fresh'],[]
Hemiancistrus chlorostictus,57539,Cascudo,['fresh'],[]
Hemiancistrus fuliginosus,57540,Cascudo,['fresh'],[]
Hemiancistrus furtivus,70272,,['fresh'],[]
Hemiancistrus guahiborum,62687,,['fresh'],[]
Hemiancistrus hammarlundi,49937,Raspabalsa,['fresh'],[]
Hemiancistrus landoni,49941,Keltasurviaispleko,['fresh'],[]
Hemiancistrus macrops,48229,大眼半鯰,['fresh'],[]
Hemiancistrus medians,49942,Gangou,['fresh'],[]
Hemiancistrus megacephalus,48230,大头半鲶,['fresh'],[]
Hemiancistrus megalopteryx,61988,,['fresh'],[]
Hemiancistrus meizospilos,62201,,['fresh'],[]
Hemiancistrus punctulatus,57541,Cascudo,['fresh'],[]
Hemiancistrus subviridis,62499,,['fresh'],[]
Hemiancistrus votouro,62200,,['fresh'],[]
