ScientificName,SpecCode,CommonName,Environments,Subspecies
Hypoptopoma baileyi,65570,,['fresh'],[]
Hypoptopoma bianale,65573,,['fresh'],[]
Hypoptopoma brevirostratum,65571,,['fresh'],[]
Hypoptopoma elongatum,65574,,['fresh'],[]
Hypoptopoma guianense,48312,苏里南下口蜻鲶,['fresh'],[]
Hypoptopoma gulare,50484,Perunkiilamonni,['fresh'],[]
Hypoptopoma incognitum,65575,,['fresh'],[]
Hypoptopoma inexspectatum,50486,Matogrossonkiilamonni,['fresh'],[]
Hypoptopoma machadoi,65576,,['fresh'],[]
Hypoptopoma muzuspi,65572,,['fresh'],[]
Hypoptopoma psilogaster,50488,裸腹下口蜻鯰,['fresh'],[]
Hypoptopoma steindachneri,50505,史氏下口蜻鯰,['fresh'],[]
Hypoptopoma thoracatum,50506,下口蜻鯰,['fresh'],[]
