ScientificName,SpecCode,CommonName,Environments,Subspecies
Loricaria apeltogaster,50630,Catfish,['fresh'],[]
Loricaria birindellii,65541,,['fresh'],[]
Loricaria cataphracta,23461,Aacarí,['fresh'],[]
Loricaria clavipinna,50631,Carachama,['fresh'],[]
Loricaria coximensis,66571,,['fresh'],[]
Loricaria holmbergi,64571,,['fresh'],[]
Loricaria lata,50632,Pähkinävelhomonni,['fresh'],[]
Loricaria lentiginosa,50633,雀斑甲鯰,['fresh'],[]
Loricaria luciae,67240,,['fresh'],[]
Loricaria lundbergi,64674,,['fresh'],[]
Loricaria nickeriensis,48375,Fiederbartel-Harnischwels,['fresh'],[]
Loricaria parnahybae,50634,Achiwa,['fresh'],[]
Loricaria piracicabae,50635,Cascudo espada,['fresh'],[]
Loricaria pumila,64670,,['fresh'],[]
Loricaria simillima,50637,Carachama,['fresh'],[]
Loricaria spinulifera,64669,,['fresh'],[]
Loricaria tucumanensis,50638,guitaarra,['fresh'],[]
