ScientificName,SpecCode,CommonName,Environments,Subspecies
Parotocinclus amazonensis,50333,Amazoninvasamamonni,['fresh'],[]
Parotocinclus arandai,64968,,['fresh'],[]
Parotocinclus aripuanensis,53572,Satulavasamamonni,['fresh'],[]
Parotocinclus bahiensis,50334,Bahia-dværgsugemalle,['fresh'],[]
Parotocinclus bidentatus,62696,,['fresh'],[]
Parotocinclus britskii,48305,Alligator Ohrgitter-Harnischwels,['fresh'],[]
Parotocinclus cearensis,50335,,['fresh'],[]
Parotocinclus cesarpintoi,53534,Laikkuvasamamonni,['fresh'],[]
Parotocinclus collinsae,48308,Vyövasamamonni,['fresh'],[]
Parotocinclus cristatus,50422,Gelbpunkt-Otocinclus,['fresh'],[]
Parotocinclus doceanus,50423,,['fresh'],[]
Parotocinclus eppleyi,53541,Nokkavasamamonni,['fresh'],[]
Parotocinclus fluminense,69982,,['fresh'],[]
Parotocinclus halbothi,67310,,['fresh'],[]
Parotocinclus haroldoi,53539,Tähtivasamamonni,['fresh'],[]
Parotocinclus jacksoni,69520,,['fresh'],[]
Parotocinclus jequi,67122,,['fresh'],[]
Parotocinclus jimi,50424,Pälvivasamamonni,['fresh'],[]
Parotocinclus jumbo,60393,Katinkultamonni,['fresh'],[]
Parotocinclus longirostris,53574,Kuonovasamamonni,['fresh'],[]
Parotocinclus maculicauda,50425,Kirjovasamamonni,['fresh'],[]
Parotocinclus minutus,50426,Pikkuvasamamonni,['fresh'],[]
Parotocinclus muriaensis,62697,,['fresh'],[]
Parotocinclus planicauda,63140,,['fresh'],[]
Parotocinclus polyochrus,50427,Vannevasamamonni,['fresh'],[]
Parotocinclus prata,60385,Cascudo,['fresh'],[]
Parotocinclus robustus,66929,,['fresh'],[]
Parotocinclus seridoensis,67228,,['fresh'],[]
Parotocinclus spilosoma,50428,Cascudo,['fresh'],[]
Parotocinclus spilurus,50429,尾斑耳孔鯰,['fresh'],[]
