ScientificName,SpecCode,CommonName,Environments,Subspecies
Spatuloricaria atratoensis,50611,馬倫比亞匙甲鯰,['fresh'],[]
Spatuloricaria caquetae,50612,Kaktussukamonni,['fresh'],[]
Spatuloricaria curvispina,50613,Bigutudo,['fresh'],[]
Spatuloricaria euacanthagenys,50618,真棘匙甲鯰,['fresh'],[]
Spatuloricaria evansii,50619,Bode cachimbo papo mole,['fresh'],[]
Spatuloricaria fimbriata,50620,Cucho pitero,['fresh'],[]
Spatuloricaria gymnogaster,50621,Alcalde,['fresh'],[]
Spatuloricaria lagoichthys,49300,Paleta,['fresh'],[]
Spatuloricaria nudiventris,50622,Cascudo,['fresh'],[]
Spatuloricaria phelpsi,49302,Pileta,['fresh'],[]
Spatuloricaria puganensis,50623,Partasukamonni,['fresh'],[]
Spatuloricaria terracanticum,69176,,['salt'],[]
Spatuloricaria tuira,67773,,['fresh'],[]
