ScientificName,SpecCode,CommonName,Environments,Subspecies
Sturisoma barbatum,50520,Acari,['fresh'],[]
Sturisoma brevirostre,50521,短吻鱘身鯰,['fresh'],[]
Sturisoma caquetae,53558,哥伦比亚鲟甲鲶,['fresh'],[]
Sturisoma graffini,69989,,['fresh'],[]
Sturisoma guentheri,50526,Caracha,['fresh'],[]
Sturisoma lyra,50528,Shitari,['fresh'],[]
Sturisoma monopelte,48318,单盔鲟身鲶,['fresh'],[]
Sturisoma nigrirostrum,50529,Carachama,['fresh'],[]
Sturisoma robustum,50532,Acari,['fresh'],[]
Sturisoma rostratum,50533,Acará pedra,['fresh'],[]
Sturisoma tenuirostre,50534,Ruskosampimonni,['fresh'],[]
