ScientificName,SpecCode,CommonName,Environments,Subspecies
Pristipomoides aquilonaris,198,Colas vorace,['salt'],[]
Pristipomoides argyrogrammicus,199,Big-eyed snapper,['salt'],[]
Pristipomoides auricilla,200,Bero babi igabuku,['salt'],[]
Pristipomoides filamentosus,201,Admon,['salt'],[]
Pristipomoides flavipinnis,202,Bero babi alo,['salt'],[]
Pristipomoides freemani,205,Colas élégant,['salt'],[]
Pristipomoides macrophthalmus,206,Bigeye snapper,['salt'],[]
Pristipomoides multidens,208,Andaq asli,['salt'],[]
Pristipomoides sieboldii,209,Colas lavande,['salt'],[]
Pristipomoides typus,210,Adgawon,['salt'],[]
Pristipomoides zonatus,211,Banded flower snapper,['salt'],[]
